IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
428,Mischief,A man hit and killed my goat worth Rs 15. Can I file under IPC 428?,"If someone throws stone at my hen and injures it, does IPC 428 apply?",Can IPC 428 be applied to cruelty towards domestic animals?,What is the IPC section for intentionally harming animals worth Rs 10?,My neighbour poisoned my dog. What IPC section covers that?,Is IPC 428 bailable for killing small animals?,A villager deliberately kicked my lamb causing injury. Is this mischief?,What law punishes the killing of pets or livestock under Rs 10?,Can IPC 428 apply for damaging community-owned animals?,Is slaughtering someone else's goat mischief under IPC 428?
429,Mischief,"My cow worth Rs 20,000 was poisoned by my enemy. What IPC applies?",Can IPC 429 be used for killing cattle?,What IPC section applies if someone injures or maims valuable animals?,A buffalo was attacked with an axe in my village. What punishment applies?,Is killing someone else's bull a criminal act under IPC 429?,IPC for hitting cows with sticks and breaking their legs?,Does IPC 429 apply if a person injures an animal used for farming?,Can IPC 429 be used if a camel or donkey is maimed intentionally?,My ox was deliberately injured before ploughing season. What IPC?,Can IPC 429 be applied for poisoning cattle feed?
430,Mischief,A farmer blocked the canal water to harm my crop. Can I file IPC 430?,Someone diverted water from my field to theirs. What IPC applies?,Is damaging irrigation pipes mischief under IPC?,"If a dam gate is broken to harm farms, what IPC section covers it?",A villager clogged the shared irrigation system. Can I take legal action?,What if someone digs a ditch to redirect water supply from others?,Is IPC 430 applicable for stopping well water access?,What punishment exists for irrigation system tampering under IPC 430?,Can IPC 430 apply to damage caused by breaking borewell lines?,Someone released water at wrong time intentionally. Is it IPC 430?
431,Mischief,Someone dug up part of our public road at night. Can IPC 431 be used?,A bridge connecting two villages was broken by a group. What IPC applies?,"If a person damages the canal wall causing a breach, is it mischief?",What IPC punishes destruction of village road or paths?,Can IPC 431 apply to damage done to small bridges?,Who can file complaint if someone harms public irrigation channels?,What if someone blocks the community road with large stones?,My neighbour spoiled the bridge route during festival. IPC 431?,A person removed culverts for tractor passage. Is that mischief?,Can villagers be punished for damaging public road in protest?
432,Mischief,A man blocked village drainage leading to flooding. Is this IPC 432?,What is the punishment for causing flooding by breaking drain?,"If my field was flooded due to someone’s act, is IPC 432 applicable?",Can IPC 432 be used if public drainage is damaged intentionally?,"Someone dumped sandbags to stop water flow, causing damage. What IPC?",Is deliberate flooding through obstruction considered mischief?,IPC section for altering public water system resulting in loss?,Can I complain under IPC 432 if sewer blockage caused property damage?,My shop was flooded due to drainage diversion. What IPC applies?,Can IPC 432 be used against mischief causing inundation during monsoon?
433,Mischief,Someone broke our village signal pole near riverbank. Is it IPC 433?,What law applies if a person destroys a lighthouse or river warning sign?,IPC section for damaging sea-safety marks or buoys?,A fisherman removed night lamp marker on lake. What IPC applies?,Does IPC 433 apply to rural areas with river markers?,Can destruction of water navigation signs be punishable under IPC?,What IPC section protects public navigation aids from mischief?,"If someone misplaces boundary lights near water bodies, what IPC applies?",What punishment for mischief by destroying warning lights?,Is removal of sea-mark considered mischief under law?
434,Mischief,My neighbor removed a government land boundary stone. What IPC applies?,What is the punishment under IPC 434 for removing land-mark signs?,Can IPC 434 be used for shifting village panchayat property marks?,A man damaged a land demarcation pillar to grab land. Is it mischief?,What if someone tampers with survey stone of agriculture land?,Is it mischief to paint over public land markers?,IPC section for removing revenue department boundary stones?,Can villagers be punished for damaging public authority signs?,What IPC applies for moving land reference marks without permission?,A man erased land ownership marks—what section punishes this?
435,Mischief,Someone set fire to my harvested crop in field. Can IPC 435 apply?,What if haystack is burned intentionally? IPC 435?,A man used explosives to destroy rice bags. Which IPC applies?,What if fire is used to damage property worth over Rs 100?,IPC section for intentionally burning tools or agricultural stores?,Can IPC 435 apply to burning of cattle shed during fight?,Someone exploded a cracker near my storage hut. Is it mischief?,IPC for damage to goods using fire in retaliation?,Can IPC 435 be used if farm inputs are burned in fire incident?,What punishment is there for causing damage using fire?
436,Mischief,Someone tried to burn my house using kerosene. What IPC applies?,What is the punishment under IPC 436 for house-burning attempts?,Can IPC 436 be used if someone tries to burn school buildings?,A villager set fire to a thatched hut. Is that under IPC 436?,What IPC applies to attempt to destroy a home using petrol?,Can IPC 436 apply even if house only partially burned?,What if shop is destroyed in market by fire during fight?,IPC for burning anganwadi building in dispute?,Can IPC 436 be used for setting community hall on fire?,What law punishes burning homes in rural feuds?
437,Mischief,A man damaged a ferry used by villagers. Is this IPC 437?,What if someone intentionally loosens the boat floorboards?,IPC for trying to sink a village fishing boat?,Can IPC 437 apply to watercraft used in rural areas?,What happens if someone removes safety parts from boat?,Mischief section for damaging a fully decked boat?,What IPC applies for tampering with ferry ropes?,IPC section for unsafe handling of heavy river vessel?,Someone left holes in boat bottom before ride. What law applies?,Can IPC 437 apply to small cargo boats?
438,Mischief,What is the punishment if boat is burned to cause damage?,Someone set fire to a decked boat used in the village. Is that IPC 438?,IPC section if vessel is attacked using explosives?,Can IPC 438 be applied for damaging fishing boats with fire?,What IPC applies for sinking boat during festival intentionally?,IPC for throwing petrol bombs at water vessel?,What if boat used for transportation is partially burned?,IPC for fire mischief to river-crossing transport?,Can IPC 438 be used if a dacoity involves boat fire?,Penalty for using fire to destroy rural water vehicles?
439,Mischief,A man steered the boat aground to steal the goods. What IPC applies?,Can IPC 439 be used if a ferry is damaged to commit theft?,What IPC punishes people who cause boat accident to loot?,Mischief by damaging boat to take away sacks of grains?,"If someone runs boat ashore with criminal intent, is it IPC 439?",Intentional boat grounding for theft—what IPC?,IPC for using boat crash to loot passengers?,What IPC section applies to fake accident to steal cargo?,Mischief using watercraft for planned robbery?,Can IPC 439 be charged for sinking boat to steal livestock?
440,Mischief,A man cut tree branches over my roof to hurt me during storm. Is it IPC 440?,Can IPC 440 be applied if mischief was done to injure someone?,IPC section if mischief is done after planning to cause hurt?,What if damage was planned with intention to harm body?,My neighbor loosened the ladder before I climbed—can I file IPC 440?,Mischief resulting in death or injury—what IPC applies?,Can planned mischief with intention to hurt apply under IPC 440?,My farm shed was damaged during fight—was it mischief with intent?,IPC for planned mischief leading to injuries?,Can IPC 440 be used for tampering machinery causing injuries?
441,Criminal Trespass,A man entered my farmland without permission. Can this be criminal trespass?,My neighbor forcibly walked into my house to threaten me. Does IPC 441 apply?,What if someone jumps over boundary wall into property?,Can someone be punished for entering a home without reason or invitation?,What IPC applies if someone repeatedly enters my land without consent?,Is using abusive words while entering private land covered under IPC 441?,What is criminal trespass in a village setting?,Can I report someone under IPC 441 for coming to my home to threaten me?,Does IPC 441 apply for climbing my terrace without permission?,Can trespass apply if person had no violence but entered private space?
442,Criminal Trespass,A man entered my house to steal something. Is that house-trespass?,What IPC applies if a stranger is found inside someone’s home at night?,Can house-trespass be filed if entry was without violence but illegal?,Is peeping inside someone's room with entry through window IPC 442?,Someone pushed open my house door and entered. Is that trespass?,Does IPC 442 apply if someone enters to spy or harass?,Is it still house-trespass if entry is for few minutes?,A person entered my house during absence. What IPC applies?,What if entry is done through backdoor or terrace?,Can trespass apply for trying to scare family by entering house uninvited?
443,Criminal Trespass,What is lurking house-trespass in IPC 443?,Someone hid behind trees before entering house. Is that IPC 443?,Can entry after hiding be called lurking trespass?,My neighbor waited outside silently and entered when no one was looking. Is this IPC 443?,Is hiding and trespassing through backside considered IPC 443?,What IPC applies if a person enters house silently to not get caught?,A man sneaked into kitchen when household was outside. Is that IPC 443?,Does IPC 443 require intent to hide during trespass?,If someone enters with covered face silently—is it IPC 443?,Is it still lurking if done during day?
444,Criminal Trespass,What is lurking house-trespass by night?,Someone entered silently into my house compound after sunset. IPC 444?,Can IPC 444 be used for night trespass without violence?,A man came through terrace at midnight silently. Is this IPC 444?,What if entry happens late night by breaking rear door quietly?,My cattle shelter was entered at 2 am by unknown person. Is that IPC 444?,Does IPC 444 apply if someone enters when everyone is asleep?,Can I use this IPC if person enters with torch and covered face?,Is night time enough to define lurking house-trespass?,Can IPC 444 apply for farm sheds entered at night?
445,Criminal Trespass,What counts as house-breaking under IPC 445?,My door was broken open and entry forced. Is that house-breaking?,Can IPC 445 be applied if someone enters by removing roof tiles?,What IPC covers forcing entry by breaking a lock?,Someone dug under wall to enter cattle shed. What IPC applies?,"If entry is done through force during absence, is it IPC 445?",Can breaking a back window to enter house count as IPC 445?,What if person cut wire fence to enter compound?,IPC for someone who jumped from wall after damaging bricks?,Is force always necessary for IPC 445?
446,Criminal Trespass,What if house-breaking is done at night? IPC 446?,A man opened roof sheets and entered my home at 1 am. What IPC?,Can I use IPC 446 for entry done by breaking the lock at night?,Does this IPC apply to shop entries at night in rural areas?,What IPC punishes night-time forced entries into homes?,Can IPC 446 be used if a thief breaks into house at midnight?,My neighbor broke wall and entered home during blackout. IPC 446?,"Can IPC 446 apply to trespass with torch, knife, and intent?",Entry through barn door at midnight—what IPC?,Is it more serious if house-breaking is at night?
447,Criminal Trespass,What is the punishment for criminal trespass under IPC 447?,Can I send someone to jail for repeatedly entering my land illegally?,IPC section for someone who entered my backyard despite warnings?,How much jail and fine is under IPC 447?,Is IPC 447 bailable in village disputes?,Can IPC 447 apply for trespass in farms and granaries?,What is needed to file FIR under IPC 447?,Is warning notice necessary before IPC 447 applies?,Does IPC 447 apply to community land trespass?,My field is encroached—can IPC 447 help?
448,Criminal Trespass,My tenant forcibly entered my room. Is that house-trespass?,Can IPC 448 apply if someone enters and refuses to leave home?,What IPC punishes person who barges into house angrily?,Can trespass during family disputes be punished under IPC 448?,My in-laws entered my room and threw my belongings. IPC 448?,What is jail term under IPC 448?,Someone jumped wall and entered to threaten me. Is IPC 448 applicable?,What if a man enters house in my absence to look for me?,Can IPC 448 be filed for forceful home entry without theft?,Can someone be punished if they trespass for argument?
449,Criminal Trespass,A man entered house to commit murder. Is it IPC 449?,What IPC applies if trespass is done with intent to kill?,Can entry with intent to cause death be booked under IPC 449?,What if a gang breaks into house to commit dacoity and someone is killed?,A rival entered house with a knife to kill my brother. What law?,Can IPC 449 be used for trespass + attempt to murder?,Is IPC 449 applicable when entry is done with plan to murder?,What punishment under IPC 449?,Can this be used in honour killing cases with home entry?,My father-in-law broke in to attack me with weapon. IPC 449?
450,Criminal Trespass,"If someone enters to commit a crime that has life imprisonment, what IPC?",A man broke into our home to kidnap a woman. Can IPC 450 apply?,Is home entry with intent to commit rape covered under IPC 450?,What IPC covers entry to execute serious crimes like acid attack?,Can IPC 450 apply to home break-in for planning terror activities?,Is IPC 450 applicable when trespass is done with plan to abduct?,Does this IPC cover premeditated home entry with major crime intent?,Entry with intent to commit crime like human trafficking—what IPC?,My neighbor entered to assault father over land—IPC 450?,Can IPC 450 apply for planned robbery after entry?
451,Criminal Trespass,A man entered my house with intent to beat me. Is this IPC 451?,What IPC applies if trespass happens to commit a minor crime like assault?,Can IPC 451 apply if a person entered with intent to molest?,Is entry to cause wrongful restraint under IPC 451?,A villager broke into house to threaten with lathi. Can I file IPC 451?,Can I use IPC 451 if someone entered to forcibly remove belongings?,What IPC punishes house entry to commit beating?,Does IPC 451 apply if intent is to harass the woman of the house?,Can IPC 451 apply to repeated offenders in family property disputes?,What is the punishment if person enters intending to harm someone inside?
452,Criminal Trespass,A group came into my house armed with sticks to threaten. What IPC applies?,What IPC if house entry is done after planning physical attack?,My relatives forcibly entered and tried to restrain me. IPC 452?,What if someone enters with others and tries to beat family members?,Entry into house for illegal confinement or hurt—is it IPC 452?,Can I file IPC 452 if entry was made with preparation for harm?,Can IPC 452 be used in property grab attempts with violence?,My neighbor brought outsiders to threaten me inside home—IPC 452?,Is IPC 452 bailable or non-bailable?,Can I use IPC 452 if plan to cause harm was clear?
453,Criminal Trespass,What is the punishment for lurking house-trespass or house-breaking?,"If someone sneaks in silently and runs away after being caught, IPC 453?",Can IPC 453 be used if lock is broken and entry is made?,Is this IPC valid if home entry is done without harming anyone?,What is maximum jail under IPC 453?,Can this apply to attempted home robbery?,My neighbor entered silently to see where valuables are kept—IPC 453?,What if entry happened during absence and no item was taken?,IPC 453 vs 457—what is the difference?,Can IPC 453 apply for shops and granaries?
454,Criminal Trespass,What if home entry was done to commit a crime punishable with jail?,Can IPC 454 be applied if a person broke into shop to steal goods?,My neighbor entered cattle shed to beat the animals. IPC 454?,Is this IPC valid when entry is made to assault inside the house?,What IPC covers house-breaking to commit non-life crimes?,Entry through broken window to harass wife—what IPC?,Can IPC 454 be used in property destruction inside home?,A man entered to snatch land papers from inside house. IPC 454?,What IPC punishes house-breaking with intent to abduct or steal documents?,Can IPC 454 apply if criminal act failed?
455,Criminal Trespass,What IPC applies if entry and assault were both pre-planned?,A group entered home after plan to harm entire family. IPC 455?,Can I file IPC 455 if attack was planned during house-trespass?,What if someone brings tools and friends to enter and beat me?,IPC section for premeditated home entry and threat?,A villager entered barn at night with others to fight over water—IPC 455?,Can IPC 455 apply to attempt to restrain women of house?,What is the punishment under IPC 455?,Is this section non-bailable?,Does IPC 455 apply to planned revenge entry?
456,Criminal Trespass,What is the punishment for night house-trespass?,A man entered our village home after 9 pm silently. Is IPC 456 applicable?,Can IPC 456 apply for nighttime property entry without violence?,My cousin broke lock and entered at midnight to harass—what IPC?,Is IPC 456 stronger due to nighttime offense?,Can this apply if person entered shed or storehouse at night?,What IPC covers entry at night with criminal intent?,My home was entered after sunset without my knowledge. IPC 456?,Is entry without theft but at night still punishable?,Can IPC 456 apply for scaring old parents at night?
457,Criminal Trespass,Can I file IPC 457 if someone broke lock and entered my shop at night?,What IPC punishes entry into property at night with theft intent?,Someone entered granary after sunset to steal. IPC 457 applicable?,My neighbor broke rear door and entered at night to take fuel—what IPC?,Is night + intent to commit crime covered under IPC 457?,Can IPC 457 apply for attempted theft at night from house?,A gang entered our home to snatch gold. What IPC applies?,My storehouse was broken into with intent to harm bullocks. IPC 457?,Can IPC 457 be used even if theft was not completed?,Is intent alone enough to use IPC 457?
458,Criminal Trespass,A group entered home at night with weapons to beat my father. IPC 458?,What IPC applies if night trespass was with intent to assault?,Can I file IPC 458 if plan was to tie me and hurt inside house?,"Entry at night with knife, threat, and force—what law?",Is IPC 458 serious enough for detention without bail?,My brother-in-law came at 2am with others to attack me. IPC 458?,Can IPC 458 apply for planned kidnap at night?,What is the jail term for IPC 458?,IPC for planned assault and injury after midnight?,Is entering house at night with bricks and lathis covered under IPC 458?
459,Criminal Trespass,Someone caused serious injury during break-in. What IPC applies?,What IPC applies if grievous hurt is caused during home entry?,Is breaking into house and injuring owner a case of IPC 459?,A person entered with gang and broke my leg—what IPC section?,Can IPC 459 apply to night house-breaking resulting in injury?,My wife was beaten after illegal house entry. Is IPC 459 applicable?,What IPC covers grievous injuries caused during trespass?,Can IPC 459 apply to head injury caused during break-in?,My son was hurt when someone broke window and attacked. IPC?,Is grievous hurt + house-breaking always IPC 459?
460,Criminal Trespass,"If group enters house at night and one causes death, who is punished?",Does IPC 460 punish all persons in group if one commits murder?,"A gang broke in, one person stabbed owner. Can others be jailed?",Can IPC 460 be used if injury or death is caused by one but all entered?,What IPC applies to group crime inside home at night?,"Entry by 3 people, one person causes major hurt. IPC 460 applicable?","What if one member only did the harm, but others helped?",Does IPC 460 apply to accomplices in nighttime house crimes?,"My cousin was part of a gang that entered house, and someone died. IPC?",Can IPC 460 charge all people in group equally?
461,Criminal Trespass,Someone broke my trunk to steal wedding jewellery. What IPC applies?,What IPC punishes dishonest breaking of locked cupboards or trunks?,Can IPC 461 be used if only the receptacle is targeted?,A man broke the shop cash box to steal coins. IPC 461?,My room safe was broken open and items taken. What IPC?,Is breaking into drawer or locker covered under IPC 461?,Someone opened chest in house without permission. What IPC?,IPC for breaking and entering grain container in house?,My cupboard was forced open by relatives. Is it IPC 461?,Does IPC 461 require force to be punishable?
462,Criminal Trespass,My worker broke open my locker and took money. IPC 462?,What IPC applies when trusted person breaks a safe to steal?,My servant opened the sealed box without consent. What IPC?,Is IPC 462 for people who are entrusted but misuse access?,"My nephew given access to room, broke cabinet lock. IPC 462?",What IPC punishes theft by breaking into receptacle by entrusted person?,Shopkeeper’s helper broke into store cash box. IPC 462 applicable?,My maid opened locked jewellery box when alone. What law?,IPC 462 for misuse of trust during access to locked boxes?,Can IPC 462 be used when the person is known and still breaks lock?
463,Offences Relating to Documents and Property Marks,Someone forged my land sale agreement—what IPC applies?,My relative made a fake signature on a property deed. What law covers this?,What is forgery according to IPC in rural property disputes?,Can I file IPC 463 if someone changed dates in legal documents?,Is tampering land records a case of IPC 463?,My uncle used a false will to claim land. What section applies?,Is forging thumb impression in old papers IPC 463?,Can a fake Panchayat certificate be covered under IPC 463?,What IPC punishes making false legal documents?,Can I use IPC 463 if someone submitted a forged ration card?
464,Offences Relating to Documents and Property Marks,My property papers were altered and reprinted. Is that IPC 464?,What IPC punishes creating false documents?,What is a “false document” in the village legal setting?,My cousin added extra lines to our agreement after signing—IPC 464?,Someone changed figures in my money loan paper. What law applies?,Can tampering with land boundary maps be charged under IPC 464?,A man edited digital land transfer file. IPC 464?,Is falsification of old family documents punishable under IPC 464?,Can electronic records also be called false documents?,My will was photocopied and details modified. What IPC covers this?
465,Offences Relating to Documents and Property Marks,What is the punishment for forgery under IPC?,Can IPC 465 be applied if someone used my Aadhaar number fraudulently?,A man forged signature to withdraw money—IPC 465?,What if someone forged school certificate for job in village?,My pension forms were forged by someone. What IPC applies?,Can IPC 465 cover changing of witness name in document?,Is IPC 465 applicable to tampered caste certificates?,My cousin faked my signature for loan—what IPC?,What if my relative forged my name in gas connection paper?,What IPC punishes forgery in general with documents?
466,Offences Relating to Documents and Property Marks,What IPC punishes forgery of public records?,Can IPC 466 apply if court record is changed?,What if someone edits Panchayat land register entries?,Is changing birth certificate entries IPC 466?,What IPC applies to tampering village ration register?,Can someone be jailed for forging a voter ID entry?,My caste certificate details were forged—IPC 466 applicable?,A government record was overwritten. What IPC?,Can IPC 466 apply to forgery in school exam records?,What if public servant made false entry knowingly?
467,Offences Relating to Documents and Property Marks,Someone forged a land deed to grab my field. Is this IPC 467?,What IPC punishes forgery of valuable documents like wills or security?,Is fake will preparation covered under IPC 467?,Can IPC 467 apply to false property sale deeds?,My father’s signed cheque was forged. What IPC?,Is forged adoption paper punishable under IPC 467?,A false agreement for money lending was made. IPC 467?,Can someone be jailed for forging life insurance bond?,What IPC for faking a registered loan bond?,Can I file FIR under IPC 467 for fake mortgage documents?
468,Offences Relating to Documents and Property Marks,My cousin forged a land paper to cheat me. Is this IPC 468?,What IPC punishes forgery done with intent to cheat?,Someone forged my account number to steal subsidy—IPC 468?,Can I use IPC 468 for job fraud with fake papers?,What IPC applies if someone forges a pension document to receive money?,I was cheated using false property documents—IPC 468?,A fake gold loan bond was used to cheat the lender. What IPC?,Can IPC 468 apply to cheating farmers via forged Kisan cards?,Is school certificate forgery for admission covered under IPC 468?,Is changing Aadhar card details to gain benefit IPC 468?
469,Offences Relating to Documents and Property Marks,Someone posted forged letters to harm my family’s name. What IPC?,What IPC applies to forgery to ruin someone's social reputation?,A man created false complaint letter in my name—IPC 469?,Can IPC 469 apply to false allegations on paper to defame me?,What if someone writes fake marriage affidavit to defame girl?,IPC for forged letter sent to police station to falsely accuse me?,Is character assassination via false documents punishable under IPC 469?,Someone sent fake panchayat notice with my name. What IPC?,What law for forging legal papers to shame someone?,Can I report IPC 469 if someone sent fake photo of mine with edited text?
470,Offences Relating to Documents and Property Marks,What is a forged document under IPC 470?,How to know if document is considered forged?,My will was copied and signatures forged. IPC 470 applicable?,Can forged Aadhaar card be IPC 470 case?,What if forged school transfer certificate is presented?,Does IPC 470 cover both handwritten and printed documents?,What IPC for submitting forged document to revenue officer?,Is digital fake paper also included in IPC 470?,My cousin submitted false caste certificate—IPC 470?,Is a false court affidavit covered under this section?
471,Offences Relating to Documents and Property Marks,What IPC punishes using a forged document as real?,My relative submitted fake ration card to claim land. IPC 471?,Can IPC 471 apply if someone files fake paper in court?,Is it punishable if someone knowingly uses fake Aadhaar for work?,My neighbor used a forged bill to claim money. IPC 471?,Can I be jailed if I knowingly submit fake signature paper?,Is fake land document used in registry covered under IPC 471?,Can IPC 471 apply even if person didn’t create the forgery?,What IPC punishes use of fake education certificates?,My cousin used forged will to stop my property share—what IPC?
472,Offences Relating to Documents and Property Marks,My neighbor was found with fake government seal. What IPC?,What IPC applies if someone makes counterfeit notary stamps?,Can IPC 472 apply for forging court seal?,What if someone had duplicate Aadhaar stamp?,My cousin created fake registration office seal—IPC?,Is it punishable to possess fake property stamp seals?,Can IPC 472 be used if caught making false certificate stamps?,Someone forged income certificate stamp. IPC 472?,Is possession of such fake items also IPC 472?,My uncle had fake railway seal for benefit. What IPC?
473,Offences Relating to Documents and Property Marks,A boy had stamp-making tools to fake school certificate. IPC 473?,What IPC applies for tools used in forgery?,Can IPC 473 apply if intent was not to harm but fake marksheet?,My cousin had forged stamps for general papers. IPC 473?,Is owning rubber stamps for false deeds punishable?,IPC for preparing fake seal for Panchayat documents?,What if someone used printer to make false land document seal?,Does IPC 473 apply for stamp scanner used in cheating?,My tenant had fake university seals. What IPC applies?,Can police arrest for possession of forged stamp tools?
474,Offences Relating to Documents and Property Marks,"My neighbor had forged land deed, knowing it was fake. IPC 474?",Can IPC 474 apply for holding a known fake will?,What IPC punishes possessing fake property paper to use later?,Is IPC 474 valid even if document is not yet used?,A man was caught with forged ration card meant for future use. IPC?,Can I report someone who has copy of forged cheque?,IPC for possession of land record known to be forged?,My uncle keeps false loan documents to threaten us—what IPC?,What IPC punishes intention to use fake document?,Does knowledge of forgery alone make IPC 474 valid?
475,Offences Relating to Documents and Property Marks,What IPC punishes counterfeiting mark on land registry paper?,Someone printed fake “registered” stamp on a fake bond—IPC 475?,My cousin had fake paper with notary-like seal. IPC 475?,Can IPC 475 be applied for cheating in loan documents?,What if fake label is placed to make document look official?,Can this IPC apply for security papers like share certificates?,My friend used fake seal to claim widow pension—IPC 475?,Is IPC 475 valid even for partial forgery in the mark area?,What if rubber stamp used looks like real one?,Does IPC 475 apply if fake device is used for authentication?
476,Offences Relating to Documents and Property Marks,My school used false stamp to verify mark sheets. IPC 476?,Can IPC 476 be used against fake hospital stamp in discharge paper?,What IPC applies to counterfeiting general official mark?,Fake mark used in recommendation letter—IPC 476?,Is it punishable if forged authentication is on caste certificate?,Does IPC 476 apply for college admission papers forged with fake sign?,IPC for fake reference seal on job application?,What if school principal signs with fake rubber stamp?,What IPC covers unauthorized seal use?,My son's marksheet had fake verification seal. IPC?
477,Offences Relating to Documents and Property Marks,My will was burned by family members to grab land. IPC 477?,What IPC punishes destroying adoption papers for property?,Can IPC 477 apply for tearing valuable loan deeds?,My bond was taken and burned by tenant. What IPC?,Can this IPC apply for destroying court documents?,IPC if someone hid or canceled someone’s will?,What if land deed was intentionally erased with acid?,IPC for damaging certificates to prevent rightful claim?,What IPC applies if security paper is torn to prevent payment?,Can I file complaint if my registered gift deed was destroyed?
477A,Offences Relating to Documents and Property Marks,What IPC applies if accountant fudged numbers in village records?,My salary ledger was altered to reduce pay—IPC 477A?,Can I use IPC 477A for school clerk altering fee collection?,What IPC punishes falsifying account books in cooperative societies?,A public servant changed amounts in ration supply log—IPC?,Can IPC 477A apply for NGO accounts being tampered?,What IPC punishes cooking up expense entries?,My village accountant inserted false figures—IPC 477A?,What if accountant deleted important entries from register?,IPC for someone who adds false entries to mislead audit?
479,Property Mark Offence,What is meant by a property mark under IPC?,Can a person be punished for faking ownership marks on farm tools?,What if my neighbor placed his initials on my grain bags—IPC 479?,How does the law define a property mark in village disputes?,Is there a difference between trademark and property mark?,Can property marks be verbal or symbol based in rural contexts?,What is the legal use of a property mark in land boundary stones?,Are hand-drawn marks on crates considered property marks?,What IPC protects my cattle from being marked by others?,Can initials carved into farm machinery be treated as property marks?
481,Property Mark Offence,My cousin used a fake symbol on my hay bundles—can I report it?,What IPC applies when someone uses a false mark to claim farm produce?,Can false markings on irrigation equipment be punished?,Is this IPC used if someone falsely marks temple donations?,My sacks were marked with someone else’s name—what law?,What if someone changes marks on tree logs for sale—IPC 481?,My goat was branded with another person’s initials—what can I do?,Can fake stamp on grain sacks lead to IPC 481 case?,Someone used my shop’s name on rice bags—IPC 481?,What law applies for falsely marking beehive boxes for sale?
482,Property Mark Offence,What is the punishment for using false property marks?,Can jail be given for fake branding on rural goods?,Is IPC 482 applicable to farmers using others' farm names on crates?,How many years can someone get under IPC 482?,Can I get compensation under this IPC?,Does IPC 482 apply if the false mark caused me financial loss?,Can selling falsely marked goods get the same punishment?,How serious is IPC 482 in court cases?,What fine is imposed under IPC 482?,Is IPC 482 bailable or non-bailable?
483,Property Mark Offence,Someone is copying my branded logo on fertilizer sacks. IPC?,What IPC punishes those who fake my product’s mark?,My neighbor is selling rice using my cooperative’s symbol. IPC 483?,Can I use IPC 483 if school uniforms have fake village trust logo?,IPC for copying my handmade brand logo on milk packets?,My farm tool company’s logo is being misused. What law?,Someone copied my ghee jar design and label—what IPC?,Is counterfeiting a handmade stamp on grain bags punishable?,What IPC if I find fake mark used in haat bazaar?,Can I file IPC 483 for a copied product identity?
484,Property Mark Offence,What IPC applies for faking a government-issued product mark?,My cousin copied a gram panchayat seal on supply papers. IPC?,Is it punishable to use a police mark on personal goods?,IPC for faking marks used by patwari or tehsildar?,Can IPC 484 apply for seal copy on village land map?,What if fake health officer stamp used in medicine packet?,Can IPC 484 apply for road contractor using false PWD seal?,I saw someone put forest dept. mark on timber logs—IPC?,What IPC punishes copying a revenue dept. survey mark?,Is use of public servant marks on fake notices IPC 484?
485,Property Mark Offence,What IPC punishes making fake tools for stamping property marks?,My cousin had stamps and dyes to forge brand symbols. IPC?,Can IPC 485 apply for printing plates used to copy labels?,Someone had ink and mold to fake our co-op mark—what IPC?,What IPC applies to possession of rubber stamp for forgery?,Is possession of branding iron to mark fake cattle IPC 485?,Can IPC 485 apply for 3D printed fake logos?,My uncle had several false molds for making labels. IPC 485?,Are people punished under IPC 485 if they didn’t use the fake mark?,What IPC punishes preparation for forging packaging marks?
486,Property Mark Offence,A shopkeeper sold me wheat bags with fake branding. IPC?,Can IPC 486 apply to sellers using copied labels?,My village shop sells fake ghee using my mark. What law applies?,What IPC punishes people who market fake-branded goods?,Can IPC 486 be filed if I buy rice in bags with forged labels?,What if duplicate items were sold in my brand’s name?,IPC for resale of falsely marked farming equipment?,Can selling fake pesticide containers be IPC 486?,What IPC covers fake clothing labels sold in haat?,What IPC if misbranded milk is being sold with my co-op tag?
487,Property Mark Offence,My crates were stamped with false owner name—IPC 487?,What IPC covers faking marks on grain containers?,Someone added fake price labels to sell farm produce. IPC?,Can IPC 487 apply to sugar sacks with false info?,What IPC applies to mislabeled kerosene barrels?,Is there a law if false marks are applied to oil tins in village?,IPC for false labels on medicine bottles for rural dispensaries?,My village factory’s drums were falsely marked. IPC?,Can IPC 487 apply to fertilizers marked as ‘govt. approved’?,What if salt bags were relabeled with famous brand’s name?
488,Property Mark Offence,What is punishment for using false mark on rural goods?,My brother used fake mark on rice sacks to sell. IPC 488?,IPC for villagers using my shop mark on oil drums?,Can IPC 488 apply to fake pharma seals?,My cousin sold goods in weekly market with false brand—IPC?,What jail term under IPC 488?,Is IPC 488 used often for local branding scams?,Can fine be imposed along with jail?,What proof is needed to file IPC 488 complaint?,Is it bailable or non-bailable under IPC 488?
489,Property Mark Offence,My neighbor removed and altered mark on my farm machine. IPC?,IPC for tampering someone’s ownership mark?,What if someone scrapes and changes brand stamp?,My cattle was marked by someone else after erasing my initials—IPC?,Can IPC 489 apply to deliberate removal of ownership symbol?,What IPC punishes changing the name stamp on grain sacks?,Is altering mark on tree logs for sale punishable?,My fishing nets were rebranded by someone else. IPC?,Is IPC 489 valid if intent was to cheat or harm?,What IPC applies if someone tampers with branding on products?
