Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Agro Service Providers (AGR-61),"Agriculture, Mechanization",Encourages farm mechanization through assistance to agro service providers and cooperatives.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers or agro-service providers,No,Any,Any,Gujarat,NA,No,No,Farmers or agro-entrepreneurs in Gujarat offering mechanized agricultural services.
Water Tank/Storage for Drip Irrigation,"Agriculture, Water",Assistance for constructing water storage tanks to promote efficient irrigation via drip systems.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers adopting drip irrigation,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat implementing drip irrigation systems needing water storage.
Drone Technology in Agriculture,"Agriculture, Technology",Support for adoption of drone technology for crop protection and pesticide spraying.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers or agri-tech entrepreneurs,No,Any,Any,Gujarat,NA,No,No,Farmers and agri-entrepreneurs in Gujarat using drones for agricultural practices.
Millet Development Scheme,"Agriculture, Millet","Promotes millet farming with input kits, promotion events, and incentives.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers in millet cultivation zones,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat cultivating millet crops.
Farm Storage Structure Scheme,"Agriculture, Crop Storage",Financial aid to construct safe storage units to reduce crop loss and boost price realization.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers growing crops in Gujarat,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat needing on-farm storage facilities.
Diesel VAT Relief Scheme for Fishermen,"Agriculture, Fishermen",Offers VAT relief on high-speed diesel used by fishermen for marine operations.,https://www.myschemes.gov.in/,18,None,Male,Any,Any,Registered diesel-boat fishermen,No,Any,Any,Gujarat,NA,No,No,Registered male fishermen operating diesel boats in Gujarat.
Fish Seed & Inland Fisheries Equipment (Tribal Areas),"Agriculture, Fisheries",Support through fish seed and equipment for tribal inland fisheries.,https://www.myschemes.gov.in/,18,None,Any,ST,Any,Inland fishermen (ST category),No,Any,Any,Gujarat,NA,No,No,Scheduled Tribe individuals in Gujarat involved in inland fisheries.
Compensation in Animal Death,Animal Husbandry,"Compensation for animal loss due to disease, disaster, or poisoning.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Livestock owners facing qualifying animal loss,No,Any,Any,Gujarat,NA,No,No,Gujarat livestock owners facing livestock death from specified causes.
Milch Animal Farm (1 to 20 Animals),"Animal Husbandry, Rural Employment",Interest subsidy scheme to establish or expand dairy farms with up to 20 milch animals.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Livestock/dairy farmers,No,Any,Any,Gujarat,NA,No,No,Gujarat residents setting up dairy farms with 1–20 milch animals.
Brackish Water Aquaculture Development,"Aquaculture, Fishing",Financial support for shrimp farming infrastructure in brackish water coastal zones.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,"Aquaculture entrepreneurs, coastal fishermen",No,Any,Any,Gujarat,NA,No,No,Individuals in Gujarat practicing shrimp farming in brackish water zones.
PACS Computerization Scheme,"Agriculture, Digital Infra",Assistance to digitize Primary Agricultural Credit Societies and integrate with cooperative banks.,https://www.myschemes.gov.in/,None,None,Any,NA,NA,Registered PACS (institutions),No,NA,NA,Gujarat,NA,No,No,Only for registered PACS in Gujarat for digital infrastructure upgrades.
Cow Maintenance for Natural Farming,"Agriculture, Natural Farming",Aid for farmers maintaining indigenous cows for fully natural (chemical-free) farming practices.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers practicing 100% natural farming,No,Any,Any,Gujarat,NA,No,No,Gujarat farmers doing 100% natural farming with native cows.
Fodder Development for Gauchar Land,Animal Husbandry,Grants to develop fodder on common grazing land managed by local bodies or shelters.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,"Gram Panchayats, Gaushalas, Panjarpols",No,NA,NA,Gujarat,NA,No,No,Institutions in Gujarat with grazing land for fodder development.
Fellowship for PG Students (SDAU),"Education, Agriculture",Fellowship support to meritorious postgraduate students in Sardarkrushinagar Dantiwada Agricultural University.,https://www.myschemes.gov.in/,21,None,Any,Any,Any,Students in SDAU PG programs,No,Any,Any,Gujarat,PG (enrolled in SDAU),No,No,PG students enrolled in SDAU's agriculture-related faculties.
Scholarship for UG Students (Junagadh Agri Univ),"Education, Agriculture",Monthly scholarship to meritorious undergraduate students in Junagadh Agricultural University.,https://www.myschemes.gov.in/,18,21,Any,Any,Any,Students in UG agriculture programs,No,Any,Any,Gujarat,UG (enrolled in Junagadh Agri Univ),No,No,UG students at Junagadh Agricultural University with merit records.
Scholarship for PG Students (Junagadh Agri Univ),"Education, Agriculture",Monthly scholarship for postgraduate students of Junagadh Agricultural University.,https://www.myschemes.gov.in/,21,None,Any,Any,Any,PG students in Junagadh Agri Univ,No,Any,Any,Gujarat,PG (enrolled),No,No,PG-level students enrolled at Junagadh Agricultural University.
Crop Input Subsidy for Crop Loss due to Calamities,"Agriculture, Disaster Relief",Compensation for farmers whose crops are damaged due to officially verified natural disasters.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers with validated crop loss,No,Any,Any,Gujarat,NA,No,No,Gujarat farmers with crop damage confirmed by official survey.
Mukhya Mantri Agricultural Mechanization Scheme,"Agriculture, Mechanization",Subsidy and financial assistance to farmers for purchasing mechanized agricultural tools.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers purchasing machinery,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat buying machinery for agricultural purposes.
Poultry Unit + Training Scheme for SC,"Animal Husbandry, SC Welfare",Financial aid and poultry farming training to Scheduled Caste individuals.,https://www.myschemes.gov.in/,18,None,Any,SC,Any,Aspiring poultry farmers,No,Any,Any,Gujarat,NA,No,No,SC individuals in Gujarat interested in starting poultry units.
Expansion of Fruit Crop Cultivation,"Agriculture, Horticulture","Assistance for intensive/ultra-intensive mango, banana, papaya cultivation.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers cultivating fruits,No,Any,Any,Gujarat,NA,No,No,"Farmers growing horticulture crops like mango, banana, papaya."
E-Market Facility in Market Committees,"Agriculture, Digital Market",Support to market committees for setting up e-market platforms.,https://www.myschemes.gov.in/,None,None,Any,Any,NA,Market Committees,No,Any,Any,Gujarat,NA,No,No,Registered market committees in Gujarat setting up e-platforms.
Kaidi Sahay Yojana,"Social Justice, Welfare","₹25,000 aid to families of prisoners who were sole breadwinners.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Families of imprisoned earners,No,Any,Any,Gujarat,NA,No,No,Families of prisoners in Gujarat who were sole/primary earners.
Nalanda Award,Social Welfare,Awards for NGOs excelling in work for underprivileged communities.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,NGOs working in social welfare,No,Any,Any,Gujarat,NA,No,No,Gujarat-based organizations with outstanding social service work.
Electric Scooter to Disabled Person,"Disability, Mobility","₹25,000 subsidy to orthopedic-disabled persons from BPL families to purchase electric scooters.",https://www.myschemes.gov.in/,18,None,Any,Any,BPL,Any,Orthopedic,Any,Any,Gujarat,NA,No,No,BPL-category persons in Gujarat with orthopedic disabilities.
Saraswati Sadhana Yojana,"Education, EWS",Free bicycle distribution to EWS girls in Class 9 in govt/grant-in-aid schools.,https://www.myschemes.gov.in/,13,15,Female,Any,EWS,Student,No,Unmarried,Any,Gujarat,Class 9,No,No,EWS category girl students in Class 9 of govt/grant-in-aid schools.
Passenger Auto Rickshaw Loan Scheme (DAADC),"Employment, SC",Loan assistance for SC Antyodaya families to buy passenger auto-rickshaws.,https://www.myschemes.gov.in/,18,None,Any,SC,Antyodaya,Aspiring drivers,No,Any,Any,Gujarat,NA,No,No,SC individuals from Antyodaya families wanting to buy auto rickshaws.
Manav Kalyan Yojana,"Employment, Artisan","Toolkit assistance for 10 trades to SC/ST, NT, BPL, EWS families with income ≤ ₹6 lakh.",https://www.myschemes.gov.in/,18,None,Any,SC/ST/NT/Other,"₹6,00,000",Artisan or Self-employed,No,Any,Any,Gujarat,NA,No,No,SC/ST/NT/EWS/BPL families with income ≤ ₹6L for self-employment toolkits.
Shravan Tirthdarshan Yojna,"Pilgrimage, Senior Citizens",Travel aid for religious pilgrimages for Gujarat’s senior citizens.,https://www.myschemes.gov.in/,60,None,Any,Any,Any,Retired/Senior citizen,No,Any,Any,Gujarat,NA,No,No,Senior citizens in Gujarat applying for religious tourism support.
AGR 2 (Farm Mechanization – General),"Agriculture, Mechanization",Subsidy for purchase of farm machinery for general category farmers (non-SC/ST).,https://www.myschemes.gov.in/,18,None,Any,General,NA,Farmer,No,Any,Any,Gujarat,NA,No,No,General category farmers in Gujarat (non-SC/ST) eligible for farm mechanization subsidy.
Goat Unit Scheme (SC),"Animal Husbandry, SC Welfare",Subsidy to set up goat units (10+1 goats) for SC individuals as livelihood support.,https://www.myschemes.gov.in/,18,None,Any,SC,NA,Animal Rearing,No,Any,Any,Gujarat,NA,No,No,Scheduled Caste individuals in Gujarat engaged in animal rearing.
Mamta Taruni Abhiyan,"Health, Women",Rural healthcare services for adolescent girls and pregnant women including nutrition and check-ups.,https://www.myschemes.gov.in/,10,None,Female,Any,NA,Student or Pregnant Women,No,Any,Any,Gujarat,NA,No,No,Adolescent girls (10–19) and pregnant women in rural Gujarat.
Mukhyamantri Yuva Swavalamban Yojana (MYSY),"Education, Youth",Scholarship for meritorious students pursuing higher education with income below threshold.,https://www.myschemes.gov.in/,17,25,Any,Any,"₹6,00,000",Student,No,Any,Any,Gujarat,80%+ in 12th / Diploma,No,No,Gujarat students pursuing higher studies with income ≤ ₹6L and required merit.
AGR 4 (Farm Mechanization – SC Farmers),"Agriculture, SC Welfare",Equipment subsidy exclusively for Scheduled Caste farmers in Gujarat.,https://www.myschemes.gov.in/,18,None,Any,SC,NA,Farmer,No,Any,Any,Gujarat,NA,No,No,SC farmers in Gujarat eligible for farm equipment subsidy.
Assistance Scheme for Occupational Diseases (GBOCWWB),"Labour, Health",Financial support for registered construction workers with occupational diseases/injuries.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Construction Worker,No,Any,Any,Gujarat,NA,No,No,Registered construction workers in Gujarat with listed occupational diseases/injuries.
Education Assistance/Ph.D Scheme (GBOCWWB),"Labour, Education",Annual assistance for up to two children of registered construction workers pursuing higher education.,https://www.myschemes.gov.in/,17,30,Any,Any,NA,Student (Child of Construction Worker),No,Any,Any,Gujarat,Higher Education,No,No,Two children of registered construction workers in Gujarat pursuing higher education.
Go-Green Three Wheelers Scheme (GBOCWWB),"Disability, Transport",Subsidy for battery-operated e-rickshaws for disabled construction workers.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Construction Worker,Yes,Any,Any,Gujarat,NA,No,No,Registered construction workers with disability in Gujarat eligible for e-rickshaw subsidy.
Accidental Death Assistance Scheme (GBOCWWB),"Labour, Welfare",Compensation for accidental death/disability at work for construction workers (registered or not).,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Construction Worker,No,Any,Any,Gujarat,NA,No,No,Heirs of deceased/disabled construction workers (registered/unregistered) in Gujarat.
Shramik Annapurna Yojana (GBOCWWB),"Labour, Welfare",Nutritious food at subsidized rates for construction workers and their families.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Construction Worker,No,Any,Any,Gujarat,NA,No,No,Registered construction workers and their family members in Gujarat eligible for subsidized meals.
Educational Award Scheme – Gujarat Labour Welfare Board,Education,Awards to children of registered labourers as motivation for continuing education.,https://www.myschemes.gov.in/,6,25,Any,Any,NA,Child of Labour Worker,No,Any,Any,Gujarat,School/College Student,No,No,Students who are children of registered Labour Welfare Board workers.
Go Green Scheme – Gujarat Labour Welfare Board,"Environment, Transport",Subsidy to registered workers for purchasing electric two-wheelers.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Labour/Industrial Worker,No,Any,Any,Gujarat,NA,No,No,Registered industrial/labour workers in Gujarat eligible for e-scooter subsidy.
Private Tuition Assistance for SC Students (11th & 12th Science),"SC, Education",Financial assistance for SC students in Std 11–12 Science stream with good marks in Std 10.,https://www.myschemes.gov.in/,15,18,Any,SC,NA,Student,No,Any,Any,Gujarat,Std 11–12 (Science),No,No,SC students in Std 11–12 Science with 70%+ marks in Std 10 in Gujarat.
Home Loan Interest Subsidy Scheme – Labour Welfare Board,"Housing, Labour",3% interest subsidy for organized sector workers who have availed home loans.,https://www.myschemes.gov.in/,18,None ,Any,Any,NA,Industrial/Organized Worker,No,Any,Any,Gujarat,NA,No,No,Organized sector workers in Gujarat who have taken home loans.
Marriage Assistance Scheme – Labour Welfare Board,"Social Welfare, Labour",One-time financial assistance to female industrial workers after marriage.,https://www.myschemes.gov.in/,18,None ,Female,Any,NA,Industrial Worker,No,Married,Any,Gujarat,NA,No,No,Female industrial workers in Gujarat eligible for financial aid after marriage.
Post-Matric Scholarship for SC Students – Gujarat,"SC, Education",Scholarship for SC students from low-income families pursuing post-matric studies.,https://www.myschemes.gov.in/,15,30,Any,SC,As per guidelines,Student,No,Any,Any,Gujarat,Post-Matric (11th+),No,No,SC students from poor households enrolled in post-matric education.
Dr. P. G. Solanki Scheme for Law Graduates (SC),"Law, Financial Assistance",Aid for SC law graduates to begin legal practice and set up office/shop.,https://www.myschemes.gov.in/,21,None,Any,SC,NA,Law Graduate,No,Any,Any,Gujarat,LLB or Equivalent,No,No,SC law graduates seeking support to start legal practice.
Swami Vivekanand Scholarship (SC students – ITI/Professional),"Education, SC",Monthly stipend for SC students in ITI or professional courses (Govt/Private).,https://www.myschemes.gov.in/,15,30,Any,SC,NA,Student,No,Any,Any,Gujarat,ITI/Professional Courses,No,No,SC students enrolled in Govt/Private ITI or professional programs.
Coaching Assistance for Govt Exams (SC),"Coaching, SC",Coaching fee support for SC students preparing for government recruitment exams.,https://www.myschemes.gov.in/,18,35,Any,SC,NA,Student/Aspiring Jobseeker,No,Any,Any,Gujarat,Graduate/12th Pass (as per exam),No,No,"SC candidates preparing for UPSC, GPSC, SSC, Bank, etc."
Kunwar Bai Nu Mameru Yojana,"Marriage, SC",One-time financial assistance for marriage of up to 2 SC daughters in a family.,https://www.myschemes.gov.in/,18,None,Female,SC,As per norms,NA,No,Married,Any,Gujarat,NA,No,No,SC girls (max 2 per family) eligible at time of marriage.
Mai Ramabai Ambedkar Saat Phera Samuh Lagna Yojana,"Group Marriage, SC",Incentives for SC couples and organizing bodies conducting group marriages.,https://www.myschemes.gov.in/,18,None,Any,SC,NA,NA,No,Married,Any,Gujarat,NA,No,No,Scheduled Caste couples participating in group weddings.
Chaff Cutter Scheme – TASP (ST),"Agriculture, ST",Subsidy for electric chaff cutters to reduce fodder wastage.,https://www.myschemes.gov.in/,18,None,Any,ST,NA,Dairy Farmer,No,Any,Any,Gujarat,NA,No,No,ST dairy farmers in Gujarat.
Tools & Equipment – HRT-2 (General),"Agriculture, General",Financial aid to general category farmers for sorting and post-harvest tools.,https://www.myschemes.gov.in/,18,None,Any,General,NA,Farmer / Farmer Groups / Societies,No,Any,Any,Gujarat,NA,No,No,"General category farmers, co-ops, or groups in Gujarat."
Tools & Equipment – HRT-3 (ST),"Agriculture, ST",Assistance for sorting and post-harvest tools to ST farmers or their societies.,https://www.myschemes.gov.in/,18,None,Any,ST,NA,Farmer / Groups / Societies,No,Any,Any,Gujarat,NA,No,No,"Scheduled Tribe farmers, co-ops, or groups in Gujarat."
Coaching Aid for Exams like IIM/NIFT/NLU/CEPT (SC),"Education, SC",Financial assistance to SC students preparing for elite institutes.,https://www.myschemes.gov.in/,17,25,Any,SC,NA,Student,No,Any,Any,Gujarat,12th Pass or Equivalent,No,No,"SC students preparing for IIM, NIFT, NLU, CEPT exams."
AGR-50 Tractor Purchase Assistance Scheme,Agriculture,Provides subsidy to farmers for purchasing tractors under AGR-50 norms.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Farmer,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat eligible under AGR-50 norms.
Milch Animal Farm – ST Subsidy Scheme,"Animal Husbandry, ST",Interest subsidy to ST farmers for setting up dairy farms with up to 20 milch animals.,https://www.myschemes.gov.in/,18,None,Any,ST,NA,Dairy Farmer,No,Any,Any,Gujarat,NA,No,No,Scheduled Tribe farmers in Gujarat establishing 1–20 animal units.
Kisan Suryoday Yojana (KSY),"Agriculture, Energy",Ensures daytime electricity for irrigation using solar/renewable energy solutions.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Farmer,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat requiring daytime power for irrigation.
PURNA Scheme,"Women, Health, Nutrition","Empowers adolescent girls through education on nutrition, health, hygiene, and legal rights.",https://www.myschemes.gov.in/,10,19,Female,Any,NA,Student (Adolescent Girls),No,Any,Any,Gujarat,NA,No,No,"Adolescent girls in Gujarat, especially those at-risk."
Aatmanirbhar Gujarat MSME: Quality Certification,"MSME, Industry",Provides financial support for MSMEs to obtain quality certifications for improving product standards.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,MSME Owners,No,Any,Any,Gujarat,NA,No,No,Gujarat-based MSMEs applying for approved quality certifications.
Aatmanirbhar Gujarat MSME: Technology Acquisition,"MSME, Innovation",Offers reimbursement for the cost incurred by MSMEs in acquiring eligible new technologies listed under the scheme.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,MSME Owners,No,Any,Any,Gujarat,NA,No,No,MSMEs in Gujarat acquiring approved new technologies.
Aatmanirbhar Gujarat MSME: EPF Reimbursement,"MSME, Labour",Provides reimbursement of EPF contributions made by MSMEs to promote employment generation.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,MSME Employers,No,Any,Any,Gujarat,NA,No,No,Registered MSMEs employing eligible workers and contributing to EPF.
Aatmanirbhar Gujarat MSME: Patent Registration,"MSME, IP",Financial assistance for MSMEs applying for national or international patent registration and protection.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,MSME Owners,No,Any,Any,Gujarat,NA,No,No,MSMEs in Gujarat filing for patent registration (national/international).
Aatmanirbhar Gujarat Mega Industries: SGST on Capital Goods,"Industry, Capital Goods",Reimbursement of SGST paid on capital goods purchased by mega industries as per notified policy.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Industrial Investors,No,Any,Any,Gujarat,NA,No,No,Mega industries investing in capital goods in Gujarat.
Scheme for R&D Activities: Sponsored/Contract Research,"R&D, Innovation",Provides financial assistance to industries for undertaking research via sponsored or contract-based arrangements with institutions.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,"R&D Organizations, Companies",No,Any,Any,Gujarat,NA,No,No,Gujarat-based companies/institutions engaging in R&D via contract/sponsored mode.
Aatmanirbhar Gujarat – Large Industries: EPF Reimbursement,"Large Industry, Employment",Reimbursement of EPF contributions to large industries to incentivize employment creation.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Large industry employers,No,Any,Any,Gujarat,NA,No,No,Large industries in Gujarat hiring under defined employment criteria.
Assistance to Startups having a Significant Impact on Society,"Startups, Innovation",Assistance to Gujarat-registered startups demonstrating social impact to promote inclusive innovation and job creation.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Startup founders,No,Any,Any,Gujarat,NA,No,No,Startups in Gujarat with documented social impact.
Financial Assistance to Industrial Parks: Infrastructure Facilities,"Industrial Parks, Infrastructure","Financial assistance for setting up infrastructure (roads, water, electricity, etc.) in private industrial parks.",https://www.myschemes.gov.in/,18,None,Any,Any,NA,Private developers,No,Any,Any,Gujarat,NA,No,No,Developers establishing industrial parks in Gujarat.
Startups: Pre-Series A Funding,"Startups, Funding",Financial support to eligible early-stage startups seeking pre-Series A funding to expand operations.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Early-stage startup founders,No,Any,Any,Gujarat,NA,No,No,Startups in Gujarat preparing to raise pre-Series A capital.
Specialized Skill Development Centers at Industry,"Technical Training, Industry",Grants to set up specialized skill development centers in industrial sectors through industry collaboration.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Industry associations/consortiums,No,Any,Any,Gujarat,NA,No,No,Industry associations/companies interested in skill center partnerships.
Anchor Institute Scheme,"Education, Skill Development",Financial support to establish anchor institutions focused on building domain-specific expertise and training skilled manpower.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Higher education/technical institutions,No,Any,Any,Gujarat,NA,No,No,Higher education institutions and technical organizations in Gujarat.
Dr. Ambedkar Udyog Uday Yojana: Interest Subsidy (Service Sector),"Entrepreneurship, SC/ST, MSME",Interest subsidy to encourage SC/ST entrepreneurs in the service sector to establish or grow businesses.,https://www.myschemes.gov.in/,18,None,Any,SC/ST,NA,Service sector entrepreneurs,No,Any,Any,Gujarat,NA,No,No,SC/ST entrepreneurs operating service-based businesses in Gujarat.
MSME Capital Investment Subsidy (Manufacturing Sector),"MSME, Investment","Capital subsidy for investment in plant, machinery, or equipment for MSMEs in the manufacturing sector.",https://www.myschemes.gov.in/,18,None,Any,Any,NA,Manufacturing MSMEs,No,Any,Any,Gujarat,NA,No,No,Gujarat-based MSMEs in the manufacturing domain making capital investments.
MSME ZED Certification Support,"MSME, Quality",Financial support to MSMEs for acquiring ZED (Zero Effect Zero Defect) certification to enhance product quality.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,MSME owners/applicants,No,Any,Any,Gujarat,NA,No,No,Registered MSMEs in Gujarat applying for ZED certification.
Dr. Ambedkar Udyog Uday Yojana: Power Connection Charges,"MSME, SC/ST",Reimbursement for power connection charges to SC/ST-owned MSMEs to reduce initial setup burden.,https://www.myschemes.gov.in/,18,None,Any,SC/ST,NA,SC/ST MSMEs needing electricity connection,No,Any,Any,Gujarat,NA,No,No,MSMEs owned by SC/ST individuals in Gujarat needing power connections.
Dr. Ambedkar Udyog Uday Yojana: Rent Assistance,"MSME, SC/ST",Provides rent reimbursement to SC/ST micro and small enterprises operating from rented commercial premises.,https://www.myschemes.gov.in/,18,None,Any,SC/ST,NA,SC/ST-owned MSEs operating from rented units,No,Any,Any,Gujarat,NA,No,No,SC/ST MSEs functioning from rented spaces in Gujarat.
MSME Power Connection Charges Assistance,"MSME, Startup",Offers reimbursement for electricity connection charges to reduce startup costs for MSMEs.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Registered MSMEs in Gujarat,No,Any,Any,Gujarat,NA,No,No,MSMEs registered in Gujarat needing new power connections.
Gujarat Textile Policy: Power Tariff Subsidy,"Textile Industry, MSME",Provides electricity tariff subsidy to support operational cost reduction for textile industries.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Textile MSMEs and industrial units,No,Any,Any,Gujarat,NA,No,No,Textile MSMEs and units in Gujarat are eligible for electricity cost subsidy.
Gujarat Textile Policy: Capital Subsidy (Labour Intensive Unit),"Textile, Employment",Capital investment subsidy for labour-intensive textile MSMEs to expand infrastructure and boost employment.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Labour-intensive textile MSMEs,No,Any,Any,Gujarat,NA,No,No,Textile units in Gujarat with high employment capacity.
Gujarat Textile Policy: Technology Acquisition Assistance,"Textile, MSME",Reimbursement support to textile MSMEs for upgrading to advanced technology and improving efficiency.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Textile MSMEs adopting advanced technology,No,Any,Any,Gujarat,NA,No,No,Gujarat-based textile MSMEs seeking tech upgrades.
Startup Sustenance Allowance,"Innovation, Startup",Monthly sustenance allowance to support startups during ideation and early development phase.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Registered startups under Gujarat Startup Policy,No,Any,Any,Gujarat,NA,No,No,Startups registered under Gujarat’s Startup Policy.
Assistance to Construct Large Warehouse Godowns,"Agriculture, Storage",Financial assistance for constructing large warehouses to store produce.,https://www.myschemes.gov.in/,None,None,Any,Any,NA,Market Committees and Co-op Societies,No,Any,Any,Gujarat,NA,No,No,State Market Committees and Taluka/District Co-ops in Gujarat.
State Capital Contribution to Sugar Co-ops (Tribal & Normal Areas),"Agriculture, Sugar Industry",30% equity contribution by state government to promote new cooperative sugar factories.,https://www.myschemes.gov.in/,None,None,Any,Any,NA,New Sugar Co-op Factories,No,Any,Any,Gujarat,NA,No,No,New cooperative sugar mills in both tribal and non-tribal areas of Gujarat.
Skill Development Training for Women Farmers and Farmers,"Agriculture, Women Empowerment",Skill training programs to empower women and young farmers for agri-based employment.,https://www.myschemes.gov.in/,16,None,Any,Any,NA,"Women farmers, young individuals in farming",No,Any,Any,Gujarat,NA,No,No,Women and youth engaged in agriculture in Gujarat.
Solar Fencing Kit Assistance Scheme,"Agriculture, Solar",Subsidy for solar-powered fencing kits to protect crops from animal intrusion.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Farmers with open cultivation practices,No,Any,Any,Gujarat,NA,No,No,Farmers in Gujarat practicing open cultivation facing wild animal threats.
Sanedo Agricultural Equipment Purchase Assistance,"Agriculture, Mechanization",Financial aid to small/marginal farmers for buying mini tractors (Sanedo).,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Small and marginal farmers needing mechanization,No,Any,Any,Gujarat,NA,No,No,Small and marginal farmers in Gujarat needing mechanization support.
Smartphone Purchase Assistance for Farmers,"Agriculture, Technology",Assistance for purchasing smartphones to access agricultural services and schemes.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,All registered farmers,No,Any,Any,Gujarat,NA,No,No,All registered farmers in Gujarat eligible for smartphone subsidy.
Farmers Accidental Insurance Scheme,"Insurance, Farmer Welfare",Insurance coverage for accidental death/disability for farmers and family.,https://www.myschemes.gov.in/,0,None,Any,Any,NA,Registered farmers and their family members,No,Any,Any,Gujarat,NA,No,No,Registered farmers and their family members are covered.
Incentive for ST Farmers for Sugarcane Farming,"ST, Agriculture",Financial incentive for ST farmers to boost sugarcane production.,https://www.myschemes.gov.in/,18,None,Any,ST,NA,ST farmers engaged in sugarcane cultivation,No,Any,Any,Gujarat,NA,No,No,ST farmers in Gujarat practicing sugarcane farming.
50 Milch Animal Dairy Unit Assistance,"Dairy, Animal Husbandry",Support to eligible livestock owners to establish 50-animal dairy farms.,https://www.myschemes.gov.in/,18,None,Any,Any,NA,Livestock owners establishing large dairy farms,No,Any,Any,Gujarat,NA,No,No,Eligible livestock owners in Gujarat starting large-scale dairy units.
Assistance for Power Driven Chaff Cutter,"Dairy, Mechanization",Helps farmers reduce fodder wastage with mechanized chaff cutters.,https://www.myschemes.gov.in/,18,None,Any,Any,null,Dairy farmers,No,Any,Any,Gujarat,None,Any,No,Dairy farmers in Gujarat
4% Interest Subvention for Fishermen (KCC),"Fishermen, Loan Support",4% interest subsidy on short-term loans via Kisan Credit Card for fishermen.,https://www.myschemes.gov.in/,18,None,Any,Any,null,Fishermen with KCC,No,Any,Any,Gujarat,None,Any,No,Fishermen holding valid KCC loans
Managerial Assistance for Veterinarian in Gaushala/Panjrapol,"Animal Health, Management",Funds to appoint veterinarians in registered animal shelters for improved animal health care.,https://www.myschemes.gov.in/,None,None,Any,Any,null,"Registered Gaushalas, Panjrapols",No,Any,Any,Gujarat,None,Any,No,Registered animal shelters in Gujarat
Free Concentrate Feed for Pregnant SC-Owned Cattle,"SC, Animal Husbandry",BIS Type II feed support for pregnant cattle of SC livestock owners to improve health and yield.,https://www.myschemes.gov.in/,18,None,Any,SC,null,SC livestock owners,No,Any,Any,Gujarat,None,Any,No,Scheduled Caste livestock owners in Gujarat
Financial Assistance to PACS/LAMPS (General & Tribal),"Cooperatives, Agri Finance",Aid for reconstruction and reestablishment of rural agri-credit societies to improve viability.,https://www.myschemes.gov.in/,None,None,Any,Any,null,PACS/LAMPS members,No,Any,Any,Gujarat,None,Any,No,Rural agricultural credit societies in Gujarat
