IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
328,"Causing hurt by means of poison, etc., with intent to commit an offence",Administering poison or intoxicants with intent to commit an offence,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Causing grievous hurt to extort property or force an illegal act,Imprisonment up to life or 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Causing hurt to extort confession or compel restoration of property,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Causing grievous hurt to extort confession or compel restoration of property,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
332,Voluntarily causing hurt to deter public servant from his duty,Causing hurt to deter a public servant from duty,"Imprisonment up to 3 years, or fine, or both",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
333,Voluntarily causing grievous hurt to deter public servant from his duty,Causing grievous hurt to deter a public servant from duty,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
334,Voluntarily causing hurt on provocation,Causing hurt on sudden provocation,"Imprisonment up to 1 month, or fine up to ₹500, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
335,Voluntarily causing grievous hurt on provocation,Causing grievous hurt on sudden provocation,"Imprisonment up to 4 years, or fine up to ₹2,000, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
336,Act endangering life or personal safety of others,Any rash/negligent act endangering human life or personal safety,"Imprisonment up to 3 months, or fine up to ₹250, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
337,Causing hurt by act endangering life or personal safety of others,Causing hurt by rash/negligent act endangering life,"Imprisonment up to 6 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
338,Causing grievous hurt by act endangering life or personal safety of others,Causing grievous hurt by rash/negligent act endangering life,"Imprisonment up to 2 years, or fine up to ₹1,000, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
339,Wrongful Restraint,Unlawfully obstructing someone to prevent them from proceeding in a direction they have the right to,No punishment in this section (definition only) — see Section 341,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
342,Punishment for wrongful confinement,Punishment for wrongful confinement,"Imprisonment up to 1 year, or fine up to ₹1,000, or both",Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
343,Wrongful confinement for three or more days,Wrongful confinement for 3+ days,Imprisonment up to 2 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
344,Wrongful confinement for ten or more days,Wrongful confinement for 10+ days,Imprisonment up to 3 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
345,Wrongful confinement of person for whose liberation writ has been issued,Confining person despite writ for their release,Imprisonment up to 2 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
346,Wrongful confinement in secret,Wrongful confinement in secret places,"Imprisonment up to 2 years, in addition to other punishment",Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
347,"Wrongful confinement to extort property, or constrain to illegal act",Confining to extort property or force illegal act,Imprisonment up to 3 years and fine,Non-Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
348,"Wrongful confinement to extort confession, or compel restoration of property",Confining to extort confession or compel property restoration,Imprisonment up to 3 years and fine,Non-Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
349,Force,"Defines ""force"" as causing motion, change of motion, or cessation of motion by physical contact, or by causing such motion through substances, bodies, or weapons",No punishment under this section (definition only) – Punishment in later sections,Bailable,Non-Cognizable,Criminal Force & Assault
353,Assault or criminal force to deter public servant from discharge of his duty,Assault or force to deter public servant from duty,"Imprisonment up to 2 years, or fine, or both",Non-Bailable,Cognizable,Criminal Force & Assault
354,Assault of criminal force to woman with intent to outrage her modesty,Assault or criminal force to outrage modesty of woman,Imprisonment 1 to 5 years and fine,Non-Bailable,Cognizable,Criminal Force & Assault
354A,Sexual harassment and punishment for sexual harassment,"Physical contact, unwelcome advances, sexual remarks, etc.","Up to 3 years, or fine, or both (varies by clause)",Bailable/Non-Bailable (depends on clause),Cognizable/Non-Cognizable (varies),Criminal Force & Assault
354B,Assault or use of criminal force to woman with intent to disrobe,Assault or force to disrobe a woman,Imprisonment 3 to 7 years and fine,Non-Bailable,Cognizable,Criminal Force & Assault
354C,Voyeurism,Watching or capturing images of a woman in a private act,First offence: 1 to 3 years and fine Subsequent: 3 to 7 years and fine,"Bailable (1st offence), Non-Bailable (repeat)",Cognizable,Criminal Force & Assault
354D,Stalking,Following or contacting a woman despite clear disinterest,First offence: Up to 3 years and fine Repeat: Up to 5 years and fine,"Bailable (1st offence), Non-Bailable (repeat)",Cognizable (1st: Cognizable/Non-Cognizable varies by state),Criminal Force & Assault
355,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation","Assault or force to dishonour someone, without grave provocation","Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Criminal Force & Assault
356,Assault or criminal force in attempt to commit theft of property carried by a person,Assault/force in attempting theft from a person,"Imprisonment up to 2 years, fine, or both",Bailable,Cognizable,Criminal Force & Assault
357,Assault or criminal force in attempt wrongfully to confine a person,Assault/force in attempting wrongful confinement,"Imprisonment up to 1 year, fine up to ₹1,000, or both",Bailable,Cognizable,Criminal Force & Assault
358,Assault or criminal force on grave provocation,Assault or force on sudden and grave provocation,"Imprisonment up to 1 month, or fine up to ₹200, or both",Bailable,Non-Cognizable,Criminal Force & Assault
359,Kidnapping,"Defines two kinds of kidnapping: (1) From India (360), (2) From lawful guardianship (361)",Punishable under Section 363 – Up to 7 years imprisonment and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
363A,Kidnapping or maiming a minor for purposes of begging,Kidnapping or maiming a minor for begging,Kidnapping: 10 years to life imprisonment & fine Maiming: life imprisonment & fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
364,Kidnapping or abducting in order to murder,Kidnapping/abducting with intent to murder,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
364A,"Kidnapping for ransom, etc.","Kidnapping/abducting for ransom, or to compel action by threats",Death penalty or life imprisonment and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
365,Kidnapping or abducting with intent secretly and wrongfully to confine person,Kidnapping/abducting to secretly & wrongfully confine,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
366,"Kidnapping, abducting or inducing woman to compel her marriage, etc.",Kidnapping/abducting woman to compel marriage or for illicit intercourse,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
366A,Procuration of minor girl,Inducing minor girl to go with intent of illicit intercourse,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
366B,Importation of girl from foreign country,Importing girl below 21 years for illicit intercourse,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc.","Kidnapping/abducting to subject to grievous hurt, slavery or unnatural lust",Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person",Concealing/confined kidnapped/abducted person knowingly,Punishment same as for kidnapping/abduction,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
369,Kidnapping or abducting child under ten years with intent to steal from its person,Kidnapping/abducting child under 10 with intent to steal from child,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
370,Trafficking of person,Trafficking for exploitation purposes,Rigorous imprisonment 7 years to life imprisonment and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
370A,Exploitation of a trafficked person,Exploiting a trafficked person for sexual exploitation or forced labour,5-7 years (minor); 3-5 years (adults) + fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
371,Habitual dealing in slaves,Habitual dealing in slaves,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
372,"Selling minor for purposes of prostitution, etc.","Selling minor for prostitution, illicit intercourse, etc.",Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
373,"Buying minor for purposes of prostitution, etc.","Buying minor for prostitution, illicit intercourse, etc.",Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
374,Unlawful compulsory labour,Forcing someone to work against their will,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,"Kidnapping, Abduction, Slavery & Forced Labour"
375,Rape,Sexual intercourse against woman’s will or without consent under specific circumstances,Punishment is provided under Section 376,Non-Bailable,Cognizable,Sexual Offences
376,Punishment for rape,Punishment for rape as defined under Section 375,Minimum 10 years (extendable to life imprisonment) & fine,Non-Bailable,Cognizable,Sexual Offences
376A,Punishment for causing death or resulting in persistent vegetative state of victim,Rape leading to death or vegetative state,Minimum 20 years (extendable to life imprisonment) or death penalty,Non-Bailable,Cognizable,Sexual Offences
376AB,Punishment for rape on woman under twelve years of age,Rape of girl below 12 years,Minimum 20 years to life imprisonment or death & fine,Non-Bailable,Cognizable,Sexual Offences
376B,Sexual intercourse by husband upon his wife during separation,Sexual intercourse by husband with wife during separation without her consent,Imprisonment 2 to 7 years & fine,Non-Bailable,Cognizable,Sexual Offences
376C,Sexual intercourse by a person in authority,Sexual intercourse by person in authority abusing position,Imprisonment 5 to 10 years & fine,Non-Bailable,Cognizable,Sexual Offences
376D,Gang rape,Gang rape of a woman,Minimum 20 years to life imprisonment & fine,Non-Bailable,Cognizable,Sexual Offences
376DA,Punishment for gang rape on woman under sixteen years of age,Gang rape of girl under 16,Life imprisonment (remainder of natural life) & fine,Non-Bailable,Cognizable,Sexual Offences
376DB,Punishment for gang rape on woman under twelve years of age,Gang rape of girl under 12,Life imprisonment (natural life) or death penalty & fine,Non-Bailable,Cognizable,Sexual Offences
376E,Punishment for repeat offenders,Repeat offenders of rape or gang rape,Life imprisonment (natural life) or death penalty,Non-Bailable,Cognizable,Sexual Offences
377,Unnatural offences,"Voluntary carnal intercourse against nature with any man, woman, or animal (Note: Partially struck down by courts; applies to bestiality now)",Life imprisonment or up to 10 years & fine (For bestiality/other cases still applicable),Non-Bailable,Cognizable,Unnatural Offences
378,Theft,Dishonestly taking property out of possession of another without consent,Punishment is given under Section 379,Bailable,Cognizable,Theft
379,Punishment for theft,Punishment for theft,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Theft
380,"Theft in dwelling house, etc.","Theft in dwelling house, place of worship, or custody",Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Theft
381,Theft by clerk or servant of property in possession of master,Theft by clerk/servant from employer,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Theft
382,"Theft after preparation made for causing death, hurt or restraint","Theft involving preparation for causing death, hurt or restraint",Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Theft
383,Extortion,Dishonestly inducing someone to deliver property under fear,Punishment is specified in Section 384,Non-Bailable,Cognizable,Extortion
384,Punishment for extortion,Punishment for extortion,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Extortion
385,Putting person in fear of injury in order to commit extortion,Threatening to commit extortion,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Extortion
386,Extortion by putting a person in fear of death or grievous hurt,Extortion under fear of death or grievous hurt,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Extortion
387,"Putting person in fear of death or grievous hurt, in order to commit extortion",Threatening for extortion under fear of death or grievous hurt,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Extortion
388,Extortion by threat of accusation of an offence punishable with death or life imprisonment,Extortion by threatening false criminal accusations,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Extortion
389,"Putting person in fear of accusation of offence, in order to commit extortion",Threatening false accusation to extort,Punishment same as Section 388,Non-Bailable,Cognizable,Extortion
390,Robbery,Theft or extortion under certain aggravated conditions,No specific punishment under this section (Refer to Section 392 to 395 for punishments based on type of robbery),Non-Bailable,Cognizable,Robbery & Dacoity
391,Dacoity,Robbery committed by five or more persons,Imprisonment for life or rigorous imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
392,Punishment for robbery,Punishment for robbery,Rigorous imprisonment up to 10 years and fine Up to 14 years if on highway,Non-Bailable,Cognizable,Robbery & Dacoity
393,Attempt to commit robbery,Attempt to commit robbery,Rigorous imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
394,Voluntarily causing hurt in committing robbery,Causing hurt during robbery,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
395,Punishment for dacoity,Punishment for dacoity,Imprisonment for life or rigorous imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
396,Dacoity with murder,Dacoity involving murder,Death penalty or life imprisonment and fine,Non-Bailable,Cognizable,Robbery & Dacoity
397,"Robbery or dacoity, with attempt to cause death or grievous hurt",Robbery/dacoity causing or attempting grievous hurt,Imprisonment not less than 7 years,Non-Bailable,Cognizable,Robbery & Dacoity
398,Attempt to commit robbery or dacoity when armed with deadly weapon,Armed attempt of robbery/dacoity,Imprisonment not less than 7 years,Non-Bailable,Cognizable,Robbery & Dacoity
399,Making preparation to commit dacoity,Preparing to commit dacoity,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
400,Punishment for belonging to gang of dacoits,Membership of a gang of dacoits,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
401,Punishment for belonging to gang of thieves,Membership of gang of thieves,Rigorous imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
402,Assembling for purpose of committing dacoity,Assembling with intent to commit dacoity,Rigorous imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Robbery & Dacoity
403,Dishonest misappropriation of property,Dishonestly misappropriating or converting property for own use,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Criminal Misappropriation
404,Dishonest misappropriation of property possessed by deceased person at time of death,Misappropriating property of deceased person,Imprisonment up to 3 years and fine Up to 7 years if by legal representative,Bailable,Non-Cognizable,Criminal Misappropriation
405,Criminal breach of trust,Dishonestly misappropriating entrusted property,"Punishment under Section 406:
– Imprisonment up to 3 years, or fine, or both.
In aggravated cases (like by public servants, bankers, agents — under Section 409), punishment may extend to life imprisonment and fine.",Bailable — Generally bailable unless aggravated under Section 409.,Cognizable — Police can register FIR and arrest without a warrant for breach of trust.,Criminal Breach of Trust
406,Punishment for criminal breach of trust,Punishment for criminal breach of trust,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Criminal Breach of Trust
407,"Criminal breach of trust by carrier, etc.","Criminal breach of trust by carrier, warehouse keeper, etc.",Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Criminal Breach of Trust
408,Criminal breach of trust by clerk or servant,Criminal breach of trust by clerk/servant,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Criminal Breach of Trust
409,"Criminal breach of trust by public servant, banker, merchant or agent",Criminal breach of trust by public servant or persons in high fiduciary capacity,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Criminal Breach of Trust
410,Stolen property,Definition of stolen property,"This section is purely definitional. Punishments for dealing with stolen property are prescribed under related sections (e.g., Section 411).","Not applicable — being a definition section, bail doesn’t arise here.",Not applicable — this is not an offence; police action depends on offences under Section 411+.,Receiving Stolen Property
411,Dishonestly receiving stolen property,Receiving stolen property dishonestly,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Receiving Stolen Property
412,Dishonestly receiving property stolen in commission of dacoity,Receiving property stolen in dacoity,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Receiving Stolen Property
413,Habitually dealing in stolen property,Habitually receiving or dealing in stolen property,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Receiving Stolen Property
414,Assisting in concealment of stolen property,Assisting in concealment or disposal of stolen property,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Receiving Stolen Property
415,Cheating,Dishonestly or fraudulently inducing a person to deliver property or act/omit to their detriment,"Punishment under Section 417:
– Imprisonment up to 1 year, or fine, or both.

If aggravated (cheating with knowledge that wrongful loss will be caused – Section 418) or by personation (Section 419), punishments are up to 3 years + fine or 5 years + fine, respectively.","Bailable — Most cheating cases (under Section 417) are bailable. Serious aggravated cases (e.g., Section 420) may be non-bailable.","Cognizable — For simple cheating (Section 417), it is non-cognizable. For aggravated cheating (Section 420), it is cognizable.",Cheating
416,Cheating by personation,Cheating by pretending to be someone else,"Punishment under Section 419:
Imprisonment up to 3 years, or fine, or both.",Bailable — Treated as a moderately serious offence; bail is generally granted unless special circumstances,Cognizable — Police can register FIR and arrest without a warrant to prevent further harm.,Cheating
417,Punishment for cheating,Punishment for general cheating,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Cheating
418,Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect,Cheating with specific knowledge of wrongful loss,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,Cheating
419,Punishment for cheating by personation,Cheating by pretending to be another person,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Cheating
420,Cheating and dishonestly inducing delivery of property,Cheating to dishonestly induce property delivery,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Cheating
421,Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors,Fraudulent concealment/removal of property to defeat creditors,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Fraudulent Deeds
422,Dishonestly or fraudulently preventing debt being available for creditors,Dishonestly preventing debt from being available to creditors,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Fraudulent Deeds
423,Dishonest or fraudulent execution of deed of transfer containing false statement of consideration,Executing fraudulent deeds with false consideration,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Fraudulent Deeds
424,Dishonest or fraudulent removal or concealment of property,Dishonest removal/concealment of property,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Fraudulent Deeds
425,Mischief,Causing destruction or change of property intending wrongful loss,Definition only,not specified,not specified,Mischief
426,Punishment for mischief,Punishment for general mischief,"Imprisonment up to 3 months, or fine, or both",Bailable,Non-Cognizable,Mischief
427,Mischief causing damage to the amount of fifty rupees,Mischief causing ₹50+ damage,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Mischief
428,Mischief by killing or maiming animal worth ₹10+,Killing or maiming animals valued at ₹10+,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Mischief
429,Mischief by killing or maiming cattle or animal worth ₹50+,Killing/maiming cattle or animals valued at ₹50+,"Imprisonment up to 5 years, or fine, or both",Bailable,Non-Cognizable,Mischief
430,Mischief by injury to works of irrigation or diverting water,Injuring works of irrigation or wrongfully diverting water,"Imprisonment up to 5 years, or fine, or both",Bailable,Cognizable,Mischief
431,"Mischief by injury to public road, bridge, river or channel",Injuring public infrastructure,"Imprisonment up to 5 years, or fine, or both",Bailable,Cognizable,Mischief
432,Mischief by causing inundation or obstruction to drainage,Causing flood or obstructing drainage,"Imprisonment up to 5 years, or fine, or both",Bailable,Cognizable,Mischief
433,Mischief by destroying/moving lighthouse or sea-mark,Destroying/moving lighthouse or sea-mark,"Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,Mischief
434,Mischief by destroying/moving landmark fixed by public authority,Destroying/moving official landmark,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Mischief
435,Mischief by fire/explosive causing damage of ₹100+ (or ₹10 in agriculture),Mischief by fire/explosive with damage exceeding thresholds,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Mischief
436,"Mischief by fire/explosive to destroy house, etc.","Mischief intending to destroy dwelling, worship place, etc. via fire/explosive",Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Mischief
437,Mischief intending to destroy/make unsafe vessel,Mischief with intent to destroy or make unsafe certain vessels,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Mischief
438,Punishment for mischief described in Section 437 via fire/explosive,Committing Section 437 offence using fire/explosives,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Mischief
439,Punishment for running vessel aground with theft intent,Intentionally running vessel aground to commit theft,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Mischief
440,Mischief after preparation for causing death or hurt,Mischief committed with prior preparation to cause death/hurt,Imprisonment up to 5 years and fine,Non-Bailable,Cognizable,Mischief
441,Criminal trespass,Entering property with intent to commit offence or annoy,"Not specified but they define key terms that are essential to prosecuting offenses under subsequent IPC sections (e.g., Sections 447 to 460).                                                               Section 447 – Punishment for criminal trespass
Section 448 – House-trespass
Sections 454–460 – Aggravated forms like lurking house-trespass, house-breaking, etc.","Not specified directly.                    Section 447 (Criminal Trespass): Bailable
Section 448 (House-Trespass): Bailable
Section 454 (Lurking House-Trespass or House-breaking): Non-bailable
Section 457 (House-breaking by night): Non-bailable","Not specified directly.              Section 447 (Criminal Trespass): Non-cognizable

Section 448 (House-Trespass): Non-cognizable

Section 454 (Lurking House-Trespass or House-breaking): Cognizable

Section 457 (House-breaking by night): Cognizable",Criminal Trespass
442,House-trespass,"Criminal trespass into house, tent, vessel used for dwelling or worship","Not specified but they define key terms that are essential to prosecuting offenses under subsequent IPC sections (e.g., Sections 447 to 460).                                                               Section 447 – Punishment for criminal trespass
Section 448 – House-trespass
Sections 454–460 – Aggravated forms like lurking house-trespass, house-breaking, etc.","Not specified directly.                    Section 447 (Criminal Trespass): Bailable
Section 448 (House-Trespass): Bailable
Section 454 (Lurking House-Trespass or House-breaking): Non-bailable
Section 457 (House-breaking by night): Non-bailable","Not specified directly.              Section 447 (Criminal Trespass): Non-cognizable

Section 448 (House-Trespass): Non-cognizable

Section 454 (Lurking House-Trespass or House-breaking): Cognizable

Section 457 (House-breaking by night): Cognizable",Criminal Trespass
443,Lurking house-trespass,House-trespass with concealment,"Not specified but they define key terms that are essential to prosecuting offenses under subsequent IPC sections (e.g., Sections 447 to 460).                                                               Section 447 – Punishment for criminal trespass
Section 448 – House-trespass
Sections 454–460 – Aggravated forms like lurking house-trespass, house-breaking, etc.","Not specified directly.                    Section 447 (Criminal Trespass): Bailable
Section 448 (House-Trespass): Bailable
Section 454 (Lurking House-Trespass or House-breaking): Non-bailable
Section 457 (House-breaking by night): Non-bailable","Not specified directly.              Section 447 (Criminal Trespass): Non-cognizable

Section 448 (House-Trespass): Non-cognizable

Section 454 (Lurking House-Trespass or House-breaking): Cognizable

Section 457 (House-breaking by night): Cognizable",Criminal Trespass
444,Lurking house-trespass by night,Lurking house-trespass committed at night,"Not specified but they define key terms that are essential to prosecuting offenses under subsequent IPC sections (e.g., Sections 447 to 460).                                                               Section 447 – Punishment for criminal trespass
Section 448 – House-trespass
Sections 454–460 – Aggravated forms like lurking house-trespass, house-breaking, etc.","Not specified directly.                    Section 447 (Criminal Trespass): Bailable
Section 448 (House-Trespass): Bailable
Section 454 (Lurking House-Trespass or House-breaking): Non-bailable
Section 457 (House-breaking by night): Non-bailable","Not specified directly.              Section 447 (Criminal Trespass): Non-cognizable

Section 448 (House-Trespass): Non-cognizable

Section 454 (Lurking House-Trespass or House-breaking): Cognizable

Section 457 (House-breaking by night): Cognizable",Criminal Trespass
445,House-breaking,House-trespass involving breaking or unfastening parts,"Not specified but they define key terms that are essential to prosecuting offenses under subsequent IPC sections (e.g., Sections 447 to 460).                                                               Section 447 – Punishment for criminal trespass
Section 448 – House-trespass
Sections 454–460 – Aggravated forms like lurking house-trespass, house-breaking, etc.","Not specified directly.                    Section 447 (Criminal Trespass): Bailable
Section 448 (House-Trespass): Bailable
Section 454 (Lurking House-Trespass or House-breaking): Non-bailable
Section 457 (House-breaking by night): Non-bailable","Not specified directly.              Section 447 (Criminal Trespass): Non-cognizable

Section 448 (House-Trespass): Non-cognizable

Section 454 (Lurking House-Trespass or House-breaking): Cognizable

Section 457 (House-breaking by night): Cognizable",Criminal Trespass
446,House-breaking by night,House-breaking committed at night,"Not specified under this section itself, as it is not a penal provision. Punishment is prescribed in related sections that refer to this type of house-breaking (e.g., Sections 457, 458, 459)."," Not applicable directly to this section, as it is a definitional clause.
However, offenses involving house-breaking by night, such as:
Section 457 (Lurking house-trespass or house-breaking by night in order to commit an offense): Non-bailable
Section 458 (House-breaking by night with intent to cause hurt, etc.): Non-bailable","Section 446 itself is non-cognizable since it's a non-punitive definition.
However, related offenses are:
Section 457 & 458: Cognizable

",Criminal Trespass
447,Punishment for criminal trespass,Punishment for general criminal trespass,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Criminal Trespass
448,Punishment for house-trespass,Punishment for house-trespass,"Imprisonment up to 1 year, or fine up to ₹1000, or both",Bailable,Non-Cognizable,Criminal Trespass
449,House-trespass to commit offence punishable with death,House-trespass intending to commit capital offence,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Criminal Trespass
450,House-trespass to commit offence punishable with life imprisonment,House-trespass to commit life imprisonment offence,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Criminal Trespass
451,House-trespass to commit offence punishable with imprisonment,House-trespass to commit imprisonable offence,Imprisonment up to 2 years and fine,Bailable,Cognizable,Criminal Trespass
452,"House-trespass after preparation for hurt, assault, or wrongful restraint",House-trespass with preparation for violence/assault,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Criminal Trespass
453,Punishment for lurking house-trespass or house-breaking,Punishment for lurking house-trespass or house-breaking,Imprisonment up to 2 years and fine,Bailable,Cognizable,Criminal Trespass
454,Lurking house-trespass or house-breaking to commit offence punishable with imprisonment,House-trespass to commit imprisonable offence,Imprisonment up to 3 years and fine,Bailable,Cognizable,Criminal Trespass
455,"Lurking house-trespass or house-breaking after preparation for hurt, assault, or wrongful restraint",Trespass with preparation for violence or restraint,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Criminal Trespass
456,Punishment for lurking house-trespass or house-breaking by night,Night-time lurking house-trespass/house-breaking,Imprisonment up to 3 years and fine,Bailable,Cognizable,Criminal Trespass
457,Lurking house-trespass or house-breaking by night to commit offence punishable with imprisonment,Night-time house-trespass to commit imprisonable offence,Imprisonment up to 5 years and fine,Non-Bailable,Cognizable,Criminal Trespass
458,"Lurking house-trespass or house-breaking by night after preparation for hurt, assault, or wrongful restraint",Night-time trespass with preparation for violence or restraint,Imprisonment up to 14 years and fine,Non-Bailable,Cognizable,Criminal Trespass
459,Grievous hurt caused during lurking house-trespass or house-breaking,Causing grievous hurt during house-trespass/house-breaking,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Criminal Trespass
460,Joint liability in house-trespass/house-breaking at night with death or grievous hurt,Joint offenders liable where death/grievous hurt caused by one,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Criminal Trespass
461,Dishonestly breaking open receptacle containing property,Breaking open locked receptacle dishonestly,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Criminal Trespass
