BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
284,Counterfeiting device or mark used by public servant,Man made fake stamp of village officer.,They used duplicate certificate with false seal.,Can one be jailed for copying government mark?,Fake income certificate was made.,He made fake land patta with official logo.,College issued mark sheet had copied seal.,Health card issued had false QR and stamp.,Water connection paper had fake approval stamp.,Stamp of patwari was copied on blank form.,Shop displayed fake government license.
285,Personating a public servant,He acted like a government officer and threatened us.,Man collected bribe saying he’s from electricity board.,Someone posed as food inspector in village.,Is pretending to be officer a punishable act?,He wore uniform and did checking of fields.,Man faked as bank employee and asked for documents.,He said he’s a cop and took money.,Woman posed as Asha worker and entered homes.,He came with false ID and checked ration card.,Stranger said he was revenue inspector.
286,Wearing garb or carrying token used by public servant,Boy wore police uniform during village mela.,He dressed as army jawan to gain respect.,Man wore fake badge to threaten shopkeepers.,Is it illegal to wear police cap?,He wore khaki dress to scare villagers.,Man carried fake election ID card.,He used ambulance siren in personal vehicle.,Child wore IAS officer’s badge in school play.,Local thug dresses like forest officer.,Person used red beacon without being official.
287,Threat of injury to public servant,A man said he’ll kill patwari if he enters land.,Someone threatened school teacher in open.,Can one be jailed for threatening a government worker?,He abused anganwadi worker over beneficiary list.,Threats were made to Sarpanch on public mic.,Contractor told BDO not to inspect site.,Panchayat member was attacked for opposing theft.,Doctor was threatened for not giving free medicine.,Panchayat office was locked by angry villagers.,People surrounded police van and shouted threats.
288,Offering gift or gratification to influence public servant,He gave mango crates to patwari to pass his land.,My neighbor gifted phone to get ration card made.,Are gifts to officers legal?,Shopkeeper offered TV to school principal.,Gifts were exchanged to pass road tender.,Gram sevak was given clothes to approve scheme.,Officer got bike from dealer to approve bill.,Can I report bribe disguised as a gift?,Contractor gave watch to engineer.,BDO took silver coin for job approval.
289,Taking gratification to influence public servant,Officer asked for ₹5000 to move my pension file.,Patwari took money for adding name to land record.,Is it corruption if they take money for fast work?,I had to pay to get widow pension started.,Gram sevak demanded bribe for gas connection list.,Clerk said work won’t move unless we give gift.,Can we complain if teacher takes money for scholarship?,Police officer took money for not filing complaint.,Bribe was asked to approve MNREGA work.,"Revenue officer got ₹10,000 for signing document."
290,Public servant obtaining valuable thing without consideration,Officer took wheat from my shop but didn’t pay.,Government worker got solar light but didn’t pay.,Can action be taken if officials take things for free?,Teacher takes vegetables from farm every week.,Police officer eats from shop and pays nothing.,ASHA worker took medicine from store unpaid.,Contractor gave bricks to engineer without billing.,Panchayat officer uses our bike without fuel.,Electricity board staff took fan for free.,Patwari got free clothes from handloom fair.
291,Absconding to avoid service of summons,Person ran away after court sent notice.,My uncle left village when police came for summons.,Can police find someone avoiding court calls?,He hides when notice comes for land case.,Gram sevak avoids official letters.,He doesn’t take court post from mailman.,Accused person fled on hearing he’s being called.,My cousin burned the legal paper.,Father’s name was used but he doesn’t respond.,Man fakes his name to avoid hearing.
292,Preventing service of summons,His family tore the notice from court.,Summons was refused by his brother.,Is tearing or hiding summons punishable?,Police couldn't deliver notice as they locked house.,My mother-in-law denied knowing the person.,Neighbors stopped postman from entering lane.,Man said the name on summon doesn’t exist.,He threatened messenger to go away.,Family sent the peon away.,Notice was thrown in drain.
293,Non-attendance in obedience to summons,He didn’t come to court even after notice.,Villager ignored land case hearing.,What happens if someone doesn’t attend summons?,"Despite 3 calls, he avoided Panchayat hearing.",My brother didn’t appear for child support case.,Patwari was summoned but he didn’t attend.,Man never came for police enquiry.,He skipped every hearing date.,Anganwadi staff was called but never showed up.,Farmer ignored crop inspection call.
294,Non-appearance in response to proclamation,Man disappeared after court declared him wanted.,He hid after property case proclamation.,Is it serious to not appear after proclamation?,"They pasted notice on house, but he fled.",Panchayat notice was ignored by contractor.,"My cousin’s name was announced, but he ran.",He switched village after name was on wall.,Can police arrest such proclaimed persons?,"Proclamation announced in mela, but he ignored.",Fake illness was claimed to avoid court.
295,Failure to produce document,My neighbor didn’t give required papers in court.,Person refused to show record in police enquiry.,Can you be punished for hiding documents?,He hid the ration card in a family dispute.,Father denied giving will paper in property case.,Panchayat didn’t submit account book.,Asha worker refused to submit record to supervisor.,Gram sevak didn’t show survey report.,Man tore up the complaint copy.,Document was faked and not submitted properly.
296,Refusing to take oath when required,A man refused to take oath in front of judge.,The witness didn’t agree to swear on holy book.,What if someone refuses to take oath in court?,Gram sevak refused to take oath before Panchayat.,Police called me but didn't take my statement under oath.,He said oath is against his beliefs.,Can you go to jail for refusing court oath?,Temple priest denied oath in a property matter.,Lady refused oath in domestic violence case.,Man skipped oath and left the hearing.
297,Giving false evidence,My neighbor gave false statement in land dispute.,Witness lied in my harassment case.,Can lying in court be punished?,He told court I took loan which I never did.,Teacher gave false marks data in court.,Man gave wrong age of victim in case.,"Witness said he saw crime, but he wasn’t there.",Clerk testified falsely to protect his boss.,He signed wrong statement just to trap me.,My cousin lied in court about my property.
298,Fabricating false evidence,He made fake injury report for court.,They created false medical document to win case.,Are fake papers in court a crime?,My neighbor filed forged complaint against me.,A teacher faked child's attendance sheet.,Man gave false bills to show expenses.,Clerk produced fake documents in pension case.,Hospital staff forged patient name for case.,Man printed fake letter for land proof.,Report was edited to show false expenses.
299,False claim in court,Person said land is his but has no proof.,My uncle filed a fake loan recovery case.,Can false court claim lead to punishment?,Shopkeeper lied that I took goods without paying.,"Man claimed damage from my cow, falsely.",He filed for compensation for accident that never happened.,I was dragged to court with fake debt claim.,False cheating case was made to harass us.,His FIR had imaginary theft report.,"School said I forged documents, but I didn't."
300,Using false evidence,He submitted forged paper in front of judge.,Neighbor gave tampered land record in hearing.,Is it illegal to use known fake documents in court?,Medical certificate was printed to mislead court.,Witness used old photo as new one in case.,Man presented fake witness list in court.,My cousin used duplicate signature for benefit.,Teacher used edited mark sheet to claim job.,His lawyer submitted false bills.,Shopkeeper gave altered receipt in case.
301,False certificate by public servant,Patwari gave wrong land record knowingly.,Nurse gave false birth certificate to my sister.,Can an officer be punished for lying in document?,Gram sevak wrote wrong income for bribe.,Clerk issued false BPL card.,School principal gave fake transfer certificate.,Tehsildar changed caste certificate details.,Officer listed fake names for scheme benefit.,Man got ration card using false report.,Panchayat gave false no-dues letter.
302,Making false document to cause injury,He made a fake will to take my land.,Brother forged paper to remove my name from property.,Is forgery a serious offence in land disputes?,Man edited bond paper to trap me.,Tenant changed rent terms in agreement.,Villager used fake receipt to show I paid him.,Man created duplicate ID to defame me.,Teacher made wrong marksheet in my name.,Clerk made fake file to punish me.,Shopkeeper showed false dues slip in court.
303,Destroying document to prevent use as evidence,My cousin tore up our father’s will.,Teacher burned exam paper before inquiry.,Can someone be jailed for destroying documents?,Officer hid tender documents during complaint.,Loan paper was torn to avoid proof.,Fake ledger was made and original burnt.,Health report of child was lost purposefully.,They destroyed ration list after name found missing.,Land record was thrown in pond.,Paper torn in front of police to avoid reading.
304,Threatening someone to not give evidence,He told me not to speak in court against him.,They warned my aunt not to report the theft.,Can threatening witness be reported?,"Villager said “Don’t testify, or I’ll kill you.”",My cousin was warned to not go to hearing.,Man offered money to stay silent in court.,They warned us if we go to police.,Panchayat told us to keep quiet on case.,My uncle threatened to break my leg if I speak.,Police witness backed off after threats.
305,Intentional insult to interrupt judicial process,Man shouted at judge during hearing.,He used bad words in front of magistrate.,Can disrespecting court be punished?,Person abused witness during court time.,He interrupted court to delay my case.,Man banged table to protest in courtroom.,He insulted judge when decision went against him.,Man clapped loudly in court to mock.,Lawyer shouted at opposite party.,Loud slogans were raised during trial.
306,Public servant corruptly making report,Officer wrote wrong report to help contractor.,Panchayat survey was manipulated for personal gain.,Can police report be false on purpose?,BDO cleared poor work for bribe.,Patwari gave false land sketch.,Teacher made wrong mid-day meal report.,Gram sevak filed scheme report without ground visit.,Man filed bogus FIR to trap innocent.,Health staff faked birth data.,Officer submitted false complaint to avoid work.
307,Public servant making false entry,Patwari entered wrong land area in records.,Clerk added names of people who didn’t apply.,Can wrong data entry by officer be punished?,School added children who don’t study there.,Water bill was made in dead man's name.,Asha worker gave false report of immunization.,Revenue record had wrong father’s name.,Gram sevak added fake scheme beneficiaries.,Account book was altered.,MGNREGA attendance was filled without work.
308,Public servant preparing incorrect record,Birth register had wrong age of my child.,Land map made by surveyor is faulty.,What if official record is prepared wrongly?,Officer recorded fake names in pension list.,Doctor wrote wrong date in medical report.,Revenue sketch skipped our well.,Marksheet had subjects I never studied.,Clerk gave us file with other family’s name.,Patwari prepared wrong boundary details.,File notes were prepared to benefit others.
309,Person with authority to commit fraud,Bank officer gave loan to fake person.,Can authority misuse power to do fraud?,Gram sevak signed fake bills knowingly.,Manager helped fake account open.,Official sanctioned payment to ghost vendor.,Panchayat head approved false bills.,Engineer passed wrong work report.,Contractor filed expenses never incurred.,MLA assistant gave false project report.,Officer used office seal to create fake file.
310,Concealing document to prevent evidence,He hid our grandfather’s will to stop claim.,Woman kept ration card hidden during dispute.,Is hiding proof in case punishable?,Clerk locked important file in cupboard.,Man didn’t bring ID card in dowry case.,Farmer hid loan bond to avoid payment.,Shopkeeper threw away complaint paper.,School refused to give attendance record.,Officer didn't send required document to court.,Person kept survey report hidden from family.
311,False statement in document required by law,He gave fake details in birth certificate form.,Man wrote wrong name on ration card form.,Is giving wrong info in government form illegal?,Shopkeeper gave false license number in file.,He submitted fake ID number in scheme form.,He wrote wrong income in pension application.,My cousin forged address in voter list.,Father changed age in school admission paper.,Land papers had false survey number.,Clerk filled fake details in caste certificate.
312,Fraudulent removal of document,File was stolen from panchayat office.,He removed loan papers before officer arrived.,Is removing case paper a crime?,My medical report was missing from file.,He took out a page from complaint register.,Application copy was secretly removed.,Man snatched FIR copy and tore it.,Ration list was missing my name page.,Someone removed signature page from agreement.,Police file was found incomplete.
313,Misconduct by person required to maintain record,School head didn’t record student data.,Officer failed to keep job cards updated.,Can action be taken if record isn’t kept?,My name wasn’t entered in pension register.,Gram sevak didn't maintain sanitation record.,Anganwadi list was not submitted.,Complaint box records were not maintained.,MNREGA logbook was empty.,Health staff never filled vaccination book.,Panchayat fund usage wasn't written anywhere.
314,Tampering with official record,Patwari changed land entry after bribe.,My marks were edited in result list.,Can officer be punished for changing records?,He overwrote old name with new one in file.,Health record was erased and refilled.,Shop owner changed license expiry date.,Revenue staff deleted names from list.,Signature in complaint was replaced.,Teacher altered exam attendance sheet.,Gram sabha record was modified.
315,Fraudulently destroying or defacing record,File was burned by unknown person.,Complaint register pages were torn.,Is it a crime to burn public records?,He spilled water on government paper.,Name scratched out from land form.,Bank record was blacked out.,Water connection list was ripped.,Clerk cut off section of scheme file.,Receipt torn before submission.,Account book was damaged intentionally.
316(1),Misappropriation of public money or property,He took money meant for road repair.,Gram sevak kept pension amount.,Can misuse of govt funds be punished?,Worker bought own items from panchayat money.,Patwari took part of compensation amount.,BDO used funds for personal work.,Sarpanch used bricks meant for school.,Anganwadi worker took food home.,Electricity pole was taken for personal field.,Contractor used MGNREGA items for home.
316(3),Dishonestly using government money/property,Sarpanch used solar lights for own house.,Officer kept ration bags in godown for self.,Is it illegal to use government goods privately?,Patwari used cement of govt scheme.,Worker stayed in Panchayat rest house like home.,Asha worker sold medicine outside.,Officer used diesel meant for borewell.,Clerk kept govt mobile for son.,Distribution kits were hidden and sold.,Tractor hired for scheme was used in own field.
316(4),Allowing someone else to misuse govt funds/property,Officer let friend stay in govt guest house.,Sarpanch let family take ration.,Can giving govt things to others be punished?,Worker gave food to relative from mid-day meal.,Patwari allowed cousin to use scheme tractor.,Engineer let contractor misuse funds.,Anganwadi helper gave toys to neighbor's child.,Health van used for family function.,Worker allowed shopkeeper to keep scheme tools.,Govt fan used at private wedding.
316(5),Not preventing misuse of govt funds/property,Clerk knew ration was stolen but stayed silent.,Officer ignored misuse of scheme fund.,Can silence on theft of govt property be punished?,Teacher saw books being taken but didn't stop.,Nurse didn’t stop illegal medicine selling.,Panchayat member ignored misuse of labor.,Engineer didn’t report bad construction.,Food was spoiled but no complaint made.,Broken handpump was never reported.,"Survey was wrong, but patwari didn’t act."
317(2),Attempt to misuse public property or fund,Contractor tried to take extra funds.,Worker tried to steal cement bags.,Can trying to steal scheme goods be punished?,Clerk attempted to change beneficiary list.,Sarpanch tried to get duplicate tool kit.,Patwari made two bills for same work.,Health staff tried to claim fake hours.,BDO nearly approved fake vendor.,Worker filled wrong measurement sheet.,List of dead persons was created for pension.
317(3),Attempt to let others misuse govt property,Officer planned to hand over land to private builder.,He tried to give school room to NGO.,Is attempt to misuse land/property a crime?,Gram sevak arranged tool kits for friend.,BDO told family to take ration.,Patwari tried to share solar panels with friend.,Worker approved scheme names without check.,Contractor was about to get second payment.,Water tank was arranged for neighbor.,Funds were about to be passed to fake account.
317(4),Attempt to not prevent misuse,Clerk saw extra material taken but did not stop.,Officer knew about false entry but stayed silent.,Is ignoring misuse considered an attempt to help?,Teacher noticed food being taken home.,Panchayat head ignored fake attendance.,Anganwadi worker saw toys being sold.,Nurse saw expired medicine being distributed.,Worker didn’t stop broken tool usage.,Electricity staff didn’t report theft.,Office van used in private work was ignored.
317(5),Causing or allowing misuse of public assets,Officer let funds be used in wrong scheme.,Health van used for non-patient.,Can both doing and allowing misuse be punished?,BDO let road material go to private site.,Patwari issued cement to unlisted contractor.,Worker approved wrong rate for bills.,Asha used vaccine for private clinic.,Water meant for fields was diverted.,Solar panel project funds were diverted.,Teacher gave scheme books to relative.
318(2),Attempt to cause misuse,Clerk tried to print false bill.,Worker made list of fake beneficiaries.,Can preparing to misuse funds be crime?,Gram sevak printed bill for no work.,BDO drafted wrong approval file.,Patwari signed blank form.,Worker started form for non-existent house.,Document was edited for misuse.,Anganwadi list included unknown names.,Officer tried to duplicate earlier project.
318(3),Attempt to allow others to misuse,Teacher gave register to outsider to fill names.,Officer told friend he can take food.,Is helping others misuse without direct action illegal?,Clerk hinted family can get benefit.,Worker said anyone can use building.,Health camp planned by private person.,Sarpanch said old name list is enough.,Worker suggested to bill again under old project.,Office file left open for misuse.,Govt books handed to NGO without order.
318(4),Attempt to not prevent misuse by others,Clerk saw tampering but didn’t report.,Officer let outsider use assets quietly.,Is silence during attempt a punishable act?,Worker ignored duplicate ration list.,Patwari watched illegal use of land.,Teacher saw cheating in scholarship form.,Doctor didn’t stop ambulance misuse.,Officer knew cement was low-quality.,No complaint made for fake bills.,"Survey fake, but nothing was said."
319,Misuse of public trust property,Temple land was used for house.,Trust fund spent on personal party.,Can misuse of donation land be crime?,Village hall was given for private rent.,Trust tractor used for marriage.,Donation box money spent by priest.,School trust gave money to teacher for house.,Public pond encroached.,Community centre used as shop.,Godown was sold secretly.
320,Illegal possession of public property,Man built house on Panchayat land.,Someone farming on school land.,What if government land is captured?,Handpump put in private field.,Govt quarter occupied by outsider.,Health centre land was fenced.,Village park used for cow shed.,Ration store converted into room.,Govt godown used for grains.,Bus stand land used for shop.
321,Disobedience to order issued by public servant,I refused to vacate my shop after govt notice.,I didn’t follow patwari’s land boundary order.,Is it a crime to not follow tehsildar’s instruction?,I didn’t appear even after police sent summon.,I kept burning crop waste even after ban.,Worker didn’t stop construction despite warning.,"I was told to clear drain, but ignored it.","Electricity was disconnected, I reconnected it.","Officer ordered fence removal, I denied.","Gram sevak told to stop tractor work, but I refused."
322,Threat to public servant to deter them from duty,I told officer I’ll teach him a lesson if he doesn't clear my name.,He threatened patwari during land survey.,I warned officer not to enter my land again.,Sarpanch was threatened for not releasing money.,Worker was told to fake attendance or else.,Lady officer was scared away from ration list.,Gram sevak was warned to approve my name.,I forced Asha to change report or face problem.,Forest officer was stopped with threats.,Revenue officer was threatened for road work.
323,"Disobedience causing danger to human life, health or safety",I refused to quarantine during illness.,He didn’t wear mask in public during disease outbreak.,Water tank was left uncovered knowingly.,I didn’t stop pesticide spray near school.,Child was not given vaccine despite advice.,Ration shop was open in contaminated area.,Owner kept sick cattle in village area.,Patient was not taken to hospital on time.,We kept traveling during restriction.,He sold expired medicine even after order.
324(1),Giving false information to public servant,I gave fake land number to patwari.,I lied to police about incident timing.,I gave wrong father’s name in ration form.,I said house was damaged in flood though it wasn’t.,My cousin gave false Aadhar to officer.,He showed someone else’s ID in police station.,I hid age in voter list form.,He told wrong name during investigation.,Wrong income was given in BPL survey.,Fake documents were submitted for pension.
324(2),Causing public servant to use wrong procedure,He gave wrong location for patwari inspection.,I told officer to go to wrong house.,I showed damaged field instead of original.,Fake ration cards led to extra supply.,Police was sent to wrong address.,Wrong name on vaccination list confused health worker.,"My cousin said land was empty, but it wasn't.",Clerk entered false caste due to my info.,Gram sevak added name after my false report.,Official had to visit wrong ward due to me.
324(3),Giving false information in legal proceeding,I gave false witness in court about theft.,My friend lied in court about beating.,Land dispute case had false statements.,I submitted false evidence in case.,Police complaint was based on false info.,I gave fake age in child custody case.,Medical certificate given was forged.,I lied about being present at crime scene.,He gave false info to delay trial.,School teacher gave wrong info about student.
324(4),Fabricating false evidence,I made fake document for land claim.,He created forged receipt for refund.,FIR was filed with fake injuries.,I used fake stamp on letter.,Fake photo was attached as proof.,He created false medical report.,I arranged for fake witness.,Xerox copy was edited as evidence.,Audio clip was tampered for proof.,Fake property map submitted in court.
324(5),Using false evidence,I used a fake bill to prove theft.,My cousin submitted forged file to support case.,False signature was presented.,I used a false stamp paper in property dispute.,He produced tampered ID card.,Fake blood report shown in accident claim.,School gave altered attendance sheet.,Audio clip edited and used in police station.,Survey map altered and submitted.,Fake FIR used to trap neighbor.
324(6),Destroying or concealing evidence,He tore the application letter.,Witness record was hidden.,I burned receipt after complaint.,Audio evidence was deleted.,Land records were thrown in canal.,Complaint file was lost suddenly.,Health report was hidden.,Mobile with video proof was broken.,School admission form destroyed.,Ration card list page missing.
325,Threatening or bribing witness,I told witness not to speak in court.,My cousin offered money to change statement.,He said don’t testify or face trouble.,Lady was threatened for appearing in court.,We gave sweets and gift to witness.,Witness was told to take back FIR.,Money was promised for changing version.,I said don't talk to police or I’ll harm you.,He scared school kid from testifying.,Panchayat witness was silenced.
326(a),Personating a public servant,I pretended to be a police officer.,My uncle said he’s a government officer.,Man wore health staff dress and gave vaccine.,Someone posed as surveyor.,Worker said he’s from tehsil but wasn't.,Fake ID used to enter govt office.,I claimed to be Patwari’s assistant.,Man collected fees pretending as officer.,He posed as forest guard in field.,Person acted like ration officer and fined shop.
326(b),Obstructing public servant in duty,I stopped officer from entering house.,Villagers surrounded health van.,Worker was pushed away during inspection.,Officer was locked in room.,File was snatched from teacher.,Land surveyor not allowed to take measurement.,Police were not allowed to enter shop.,Electricity team was stopped from cutting line.,Road digging was blocked.,Public hearing was disturbed.
326(c),Giving false info to avoid summons,I said I wasn’t home to avoid court notice.,I told police I moved to Delhi.,Worker said patient has died to avoid call.,Teacher lied about child’s location.,Land dispute notice returned with false name.,Friend signed as me to mislead.,Someone else pretended to be me.,Clerk said file is lost.,He told postman wrong address.,Summon was hidden from person.
326(d),Absconding to avoid summons,I ran away after receiving court notice.,My uncle left home fearing case.,Villager shifted to relative’s house.,Accused went missing before date.,Sarpanch left village before inquiry.,Person didn’t appear in complaint hearing.,I hid for days to skip FIR process.,Police couldn’t find him at given address.,Woman was not reachable for trial.,Accused took leave and went to unknown place.
326(e),Preventing service of summons,I told postman not to deliver the notice.,Gram sevak was stopped at gate.,Person tore summon paper.,Clerk said person doesn’t live here.,Lady refused to accept court notice.,Police was pushed back from house.,Summon was returned unsigned.,Delivery boy was misled.,School blocked inquiry notice.,Panchayat denied entry to officer.
326(f),Non-appearance in court after summons,I didn’t go to court even after receiving summon.,My brother skipped hearing three times.,I ignored lawyer’s reminder.,I made excuse of illness but was fine.,Villager went to field on court day.,Accused said he forgot.,Lady went to market instead.,He sent someone else in his place.,No one came from our side.,Witness never came despite repeated calls.
326(g),Giving false name/address to public servant,I told wrong name to police at checkpost.,Man gave fake address in school form.,My brother gave old village name.,Tenant used someone else's name.,Child used neighbour's name in report.,Worker gave false father’s name.,He told wrong PIN code and ran.,"At health camp, lady gave false ID.",Man said he is from NGO but wasn’t.,Signature used was of another person.
327(1),Intentional insult to provoke breach of peace,I abused neighbour during temple function.,I shouted at man in market to start fight.,We insulted panchayat member publicly.,Man used casteist remark to anger us.,He teased girl's father in fair.,Words used led to physical fight.,Rude language caused brawl in school.,Loud argument in ration queue.,Threats during complaint hearing.,Man threw slipper at sarpanch.
327(2),Provocation leading to fight,I slapped him and then he attacked me.,"Friend pushed me first, so I hit back.",Man insulted my mother so I reacted.,"He threw water, I hit him with stick.","Villager teased my sister, I fought.","He destroyed my crops, so I shouted.","Someone called me thief, I retaliated.",Fight began after he laughed at me.,Cow entered field and fight started.,"Man laughed at my clothes, we fought."
328,Mischief,I broke neighbor’s cycle out of anger.,He damaged water pipe.,Wall was scratched with stones.,Man removed fence nails.,Tree was cut without asking.,Door was broken during fight.,Light pole was bent.,School bench was destroyed.,I threw ink on teacher’s board.,Drain was blocked with soil.
329(3),Criminal trespass,Man entered our field without permission.,He walked into house despite saying no.,Cowherd entered private area.,People jumped fence at night.,Shop owner walked into storeroom.,Labourer entered temple store.,Woman came into kitchen without asking.,He was caught peeping inside.,Man entered school after hours.,Someone jumped wall during festival.
329(4),House trespass,I found man sitting inside my room.,Stranger entered my house without knock.,Girl saw man near her window.,"I was away, but someone came inside.",He hid in my veranda.,We caught him on rooftop.,Man entered during lunch without permission.,"Door was open, he walked in.",Woman saw someone in kitchen.,He ran away as we entered house.
331(1),Theft,Someone stole my mobile while I was sleeping at the bus stop.,My goat was taken from the backyard without anyone noticing.,"During the fair, my bag got picked.",A man took my cycle without asking.,My money kept in temple box was gone.,Someone took away the solar panel from roof.,My utensils disappeared from kitchen at night.,Cow's bell was stolen during grazing.,Thief broke in and took rice bag.,My documents were taken from almirah secretly.
331(2),Theft in dwelling house or sacred place,Temple donation box was emptied secretly.,Someone entered our house and took jewellery.,My trunk was opened while we slept.,Village library books were stolen.,Thief took sewing machine from women’s centre.,My mother’s chain was taken from temple.,"House lock was broken, money gone.","While we were in field, someone robbed house.",Mosque’s fan was removed.,Items from community hall were stolen.
331(3),Theft by servant or in employer’s premises,My domestic helper took money from drawer.,Farm worker stole tools at night.,Maid stole bangles from cupboard.,Factory labour took motor wire.,Driver ran away with fuel money.,Watchman gave our rice bag to others.,Helper stole mobile phone.,Cook took silver plate.,Cleaner took battery from shop.,Helper vanished with cash.
331(4),Theft after preparation to cause hurt,Man entered house with stick and stole.,"Thief kept knife, ready to hurt us.",He threatened to beat if we shouted.,Thieves used rods and took bike.,They poured chilli powder in eyes before stealing.,I was pushed and chain was snatched.,House robbed with iron rods.,My brother was injured during robbery.,Thieves locked us in and took TV.,They used weapons to steal cattle.
331(5),Theft of motor vehicle,My bike was stolen from market.,Tricycle from school was taken.,Someone took our e-rickshaw at night.,Tractor was stolen from field.,Scooter missing from panchayat office.,Government van was stolen.,Jeep parked outside disappeared.,Someone took milk van.,Man took my motorcycle for ride and never came back.,Bullock cart wheel was stolen.
331(6),Theft by snatching,My phone was snatched while I was talking.,Chain was snatched during temple visit.,Bike rider pulled woman’s bag.,Child’s slate was snatched in school.,I was on call and man ran with mobile.,Man on cycle snatched old man’s stick.,My earring was snatched in crowd.,Vegetable vendor’s cash was snatched.,Rickshaw driver lost fare money to snatching.,Gram sevak’s register was snatched.
331(7),Theft in train or bus,My bag was stolen in the bus.,Someone took my belongings from train berth.,Bus thief took all passengers’ wallets.,I lost my ticket and money in train.,Bag was cut open in crowd.,Money vanished during bus halt.,"Man acted like helper, took all things.",Train passenger took my tiffin and left.,Someone opened overhead bag and stole.,Purse missing from conductor’s table.
331(8),Theft of electricity or water,Neighbour connected wire from our pole.,He tapped our motor water line.,Someone fixed illegal wire for free electricity.,Tube well was running from stolen wire.,Wire was drawn from transformer to house.,New line was made from main supply.,Streetlight connection used for house.,Water tank filled without permission.,Borewell pipe diverted.,Local shop used community meter for freezer.
332(a),Extortion,Man asked for ₹500 to not spread rumor.,Shopkeeper gave money fearing complaint.,Threatened me to pay to get my bike back.,Someone forced us to pay for no service.,Gunda said “pay or shop will be closed”.,I gave money because he scared my child.,Worker asked bribe for adding name in list.,I was told to pay for land clearance.,He made me pay by blackmail.,Youths threatened damage if no donation given.
332(b),Extortion with threat of death or hurt,He said he’ll kill my child if I don’t pay.,I was slapped and asked for money.,My land would be grabbed unless I pay.,He beat me and demanded cash.,Gang threatened acid attack for money.,I was told my wife will be harmed.,Neighbor said he’ll burn my shop if I deny.,I was beaten for refusing bribe.,Threatened to injure cattle unless I paid.,Man held knife and asked for donation.
332(c),Extortion by putting person in fear of death,Man locked my father and demanded money.,I was kidnapped and told to arrange ransom.,My daughter was taken away till I paid.,Gun was shown and money taken.,I was trapped in a room by them.,Someone tied me up and asked for money.,My son was held and I was told to bring gold.,Village boy was kept hostage.,I was told I’ll be shot if I don’t pay.,They threatened to kill my goat unless paid.
332 (Proviso),Special punishment for extortion from women/child,Girl was told to strip or give money.,Boy was made to steal due to threats.,Woman was blackmailed for photos.,Little girl was scared into silence.,Widow was forced to pay to avoid insult.,Minor was told his house would be burnt.,Woman threatened to give land to avoid shame.,Sick child’s mother was asked for bribe.,Girl was told to act against will.,Woman paid to stop blackmail.
333,Robbery,I was beaten and money was taken.,Shop was looted at gunpoint.,Robbers entered our home and tied us.,My son was hit and phone taken.,Farm tools were looted.,We were stopped and robbed on road.,Bus passengers were looted at night.,Men with sticks robbed temple donation.,I was hit on head and robbed.,My gold chain was taken by force.
334(1),Robbery causing hurt,Robbers broke my leg while looting.,They hit mother before taking valuables.,My head was injured during robbery.,Shopkeeper was stabbed in looting.,He was hit with pipe to take money.,Farmer was punched and wallet taken.,Child was beaten and robbed.,Woman was slapped before chain snatching.,Man was thrown off bike and looted.,Labourer’s hands were tied and beaten.
334(2),Robbery causing death,My brother died during home robbery.,Woman was killed in temple theft.,My father was shot for resisting looters.,Robbers stabbed child.,They hit old man on head; he died.,Farmer died while fighting back.,Guard was killed in shop robbery.,Man was hanged by robbers.,Temple priest was murdered.,Mother died after injury during looting.
335,Dacoity,A group of men came at night and took everything.,6 people came with sticks and robbed my house.,They looted our grain and beat my uncle.,More than 5 men entered and took gold and cash.,They looted the shop during market hours.,Our family was tied and house was robbed.,They stole cattle and beat everyone.,My brother was hit and robbed by a gang.,They looted the bus we were in.,Armed group took our village donation box.
336(1)-(2),Attempt to commit dacoity,A group of 5 men were caught planning robbery.,They were seen with weapons near village.,We caught them digging near house.,Suspicious men caught outside shop at night.,Police found dacoity tools with them.,They were planning to rob temple.,They waited in field with rods.,Police arrested them before crime.,Gang ran away when caught by villagers.,They had ropes and masks with them.
336(3),Preparation for dacoity,They gathered with weapons outside my farm.,Police found tools used for robbery.,They had detailed plan to loot house.,"Gang had rope, sticks, chilli powder.",5 men were seen hiding with sacks.,They were looking for house with old couple.,Gang had vehicle ready for escape.,We found sketch of our house with them.,Police found map of jewellery shop.,They had fake IDs and uniforms.
336(4),Assembly for dacoity,A group of men gathered in forest with arms.,Gang of six was planning joint robbery.,They collected in panchayat ground at night.,Villagers found a gang meeting in barn.,They divided weapons and discussed plan.,Group was shouting code words in dark.,Gang met behind temple with plan.,Meeting was held near railway station.,Loud noise led to discovery of gang.,They came from different villages to plan.
337,Robbery or dacoity with attempt to cause death,I was shot at during robbery.,They tried to kill my son while looting.,Knife was held at neck during dacoity.,My brother was almost killed by robbers.,Gang fired at police during loot.,Axe was used but missed me.,Old man was nearly hanged by robbers.,He was stabbed but survived.,They set fire to house after looting.,I was tied and left to die.
338,Robbery or dacoity with murder,Robbers killed my uncle during loot.,My brother was shot in dacoity.,Whole family attacked and one died.,My father was killed for resisting robbery.,Priest died in temple loot.,Teacher was stabbed and killed.,Robbers slit throat and ran.,Shopkeeper died after dacoity.,Robbery led to killing of child.,Mother died due to injuries.
